N1,N2,N3,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,label
28891.0,0.897,102.0,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,0
1697.0,0.92,13.0,city_160,Male,Has relevent experience,Full time course,High School,,8,100-500,Pvt Ltd,1,0
4843.0,0.855,15.0,city_67,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10/49,Early Stage Startup,1,0
3869.0,0.899,111.0,city_23,Male,Has relevent experience,no_enrollment,High School,,4,100-500,Pvt Ltd,2,0
32932.0,0.895,18.0,city_10,Male,Has relevent experience,Part time course,Masters,Other,>20,1000-4999,Pvt Ltd,>4,0
13484.0,0.91,72.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,>4,0
27494.0,0.897,84.0,city_136,,Has relevent experience,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,>4,0
8824.0,0.92,13.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Funded Startup,1,1
32443.0,0.6890000000000001,61.0,city_149,Male,No relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,1,0
5035.0,0.91,33.0,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Pvt Ltd,1,0
10938.0,0.897,12.0,city_136,Male,No relevent experience,Full time course,Phd,STEM,14,10/49,Public Sector,1,1
16734.0,0.92,12.0,city_103,,No relevent experience,no_enrollment,,,5,,,never,0
23315.0,0.92,95.0,city_103,Female,No relevent experience,no_enrollment,Graduate,Humanities,1,500-999,Public Sector,never,1
5668.0,0.794,78.0,city_105,Male,No relevent experience,Full time course,Graduate,STEM,1,,,never,0
25445.0,0.624,47.0,city_21,Male,No relevent experience,Full time course,Masters,STEM,3,50-99,Pvt Ltd,1,0
30314.0,0.624,6.0,city_21,Female,Has relevent experience,Full time course,Graduate,STEM,6,,,1,0
21938.0,0.91,57.0,city_16,,No relevent experience,no_enrollment,High School,,5,,,never,0
24477.0,0.887,164.0,city_100,Male,Has relevent experience,Part time course,Graduate,STEM,15,,,1,0
13308.0,0.624,25.0,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,1,1
18925.0,0.754,18.0,city_73,Male,Has relevent experience,Part time course,Graduate,STEM,18,,,1,1
29143.0,0.92,108.0,city_103,Male,No relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,>4,0
33141.0,0.915,140.0,city_99,Male,Has relevent experience,no_enrollment,High School,,10,10/49,Pvt Ltd,2,0
8930.0,0.92,30.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,>4,0
5119.0,0.579,268.0,city_74,Male,No relevent experience,no_enrollment,High School,,3,,,never,0
26424.0,0.887,23.0,city_100,Male,No relevent experience,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,4,1
25831.0,0.878,8.0,city_173,Male,No relevent experience,Full time course,Graduate,STEM,14,,,2,1
32852.0,0.887,59.0,city_100,Male,Has relevent experience,no_enrollment,High School,,<1,50-99,Pvt Ltd,1,0
24871.0,0.6890000000000001,44.0,city_149,,Has relevent experience,Full time course,Graduate,STEM,2,1000-4999,Pvt Ltd,1,1
10496.0,0.802,27.0,city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,,,1,1
17369.0,0.624,75.0,city_21,Male,No relevent experience,Full time course,High School,,3,,,never,0
28082.0,0.92,129.0,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,3,0
20101.0,0.804,94.0,city_102,,No relevent experience,Full time course,Primary School,,7,,,never,0
11740.0,0.92,6.0,city_103,Male,Has relevent experience,no_enrollment,,,>20,500-999,Pvt Ltd,>4,0
6494.0,0.92,41.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,1
27070.0,0.866,15.0,city_57,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,0
12888.0,0.763,76.0,city_141,,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,never,1
18705.0,0.899,100.0,city_23,Male,Has relevent experience,no_enrollment,High School,,9,100-500,Pvt Ltd,2,0
30451.0,0.92,113.0,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,5,,,2,1
25799.0,0.92,112.0,city_160,Male,No relevent experience,Full time course,Graduate,STEM,1,,,never,0
30160.0,0.92,168.0,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,never,0
13913.0,0.92,9.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,13,,,never,0
17731.0,0.83,136.0,city_77,Male,Has relevent experience,Full time course,Graduate,STEM,14,100-500,Pvt Ltd,1,0
17338.0,0.924,103.0,city_104,Male,No relevent experience,Full time course,High School,,3,,,1,0
6132.0,0.836,32.0,city_138,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,500-999,Pvt Ltd,1,0
26874.0,0.887,64.0,city_100,Male,No relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,0
31461.0,0.555,140.0,city_145,,No relevent experience,Part time course,Graduate,STEM,11,,,>4,1
2206.0,0.897,200.0,city_136,Male,Has relevent experience,no_enrollment,Phd,STEM,11,100-500,Pvt Ltd,2,0
284.0,0.92,38.0,city_103,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,0
19376.0,0.624,31.0,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,8,100-500,Pvt Ltd,1,0
19054.0,0.92,46.0,city_103,,No relevent experience,no_enrollment,High School,,8,<10,Pvt Ltd,1,0
17878.0,0.926,16.0,city_114,,Has relevent experience,,,,>20,,,>4,0
13024.0,0.89,114.0,city_45,Male,Has relevent experience,Full time course,High School,,8,50-99,Pvt Ltd,1,0
31430.0,0.92,13.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,0
24159.0,0.92,157.0,city_160,,No relevent experience,Full time course,Graduate,STEM,7,100-500,Pvt Ltd,1,0
11343.0,0.479,11.0,city_126,,No relevent experience,Full time course,Graduate,Other,3,,,3,1
11975.0,0.926,41.0,city_114,Male,Has relevent experience,no_enrollment,High School,,8,50-99,Pvt Ltd,>4,0
15199.0,0.92,9.0,city_103,,Has relevent experience,Part time course,Graduate,Business Degree,14,<10,Pvt Ltd,1,1
31194.0,0.4479999999999999,86.0,city_33,,No relevent experience,,High School,,5,,Pvt Ltd,never,1
911.0,0.754,37.0,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10/49,Pvt Ltd,1,1
32390.0,0.698,61.0,city_94,Male,Has relevent experience,no_enrollment,Masters,STEM,3,,,1,0
19330.0,0.939,20.0,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,1
20470.0,0.926,18.0,city_114,,No relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,>4,1
11042.0,0.624,8.0,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Funded Startup,1,1
11290.0,0.727,48.0,city_142,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,1,0
6211.0,0.92,42.0,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Funded Startup,1,0
31887.0,0.884,22.0,city_71,Male,Has relevent experience,Part time course,Masters,STEM,5,,,4,0
4060.0,0.925,6.0,city_89,,Has relevent experience,no_enrollment,Masters,STEM,19,<10,Pvt Ltd,>4,0
27262.0,0.887,17.0,city_100,,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,0
25273.0,0.926,65.0,city_114,,Has relevent experience,no_enrollment,Graduate,STEM,14,,,1,1
9131.0,0.897,200.0,city_136,,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,3,0
6702.0,0.7759999999999999,34.0,city_40,Female,No relevent experience,Full time course,Graduate,Other,1,100-500,,1,0
14675.0,0.6659999999999999,18.0,city_64,Female,No relevent experience,no_enrollment,Phd,STEM,5,<10,NGO,1,0
23192.0,0.727,91.0,city_142,,No relevent experience,Part time course,Masters,STEM,12,5000-9999,Public Sector,1,0
32.0,0.92,180.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,,,2,1
31486.0,0.856,182.0,city_69,Male,Has relevent experience,Part time course,Graduate,STEM,3,50-99,Pvt Ltd,2,1
5406.0,0.92,34.0,city_160,,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,never,0
24866.0,0.624,41.0,city_21,,No relevent experience,Full time course,,,4,,,never,1
18844.0,0.804,47.0,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,0
23689.0,0.91,16.0,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,never,0
25447.0,0.92,57.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,0
13451.0,0.926,19.0,city_114,,Has relevent experience,no_enrollment,High School,,7,<10,Pvt Ltd,4,0
22331.0,0.92,42.0,city_103,Male,No relevent experience,no_enrollment,Primary School,,9,,,never,0
24574.0,0.74,312.0,city_143,Male,No relevent experience,no_enrollment,High School,,<1,,,never,0
24360.0,0.878,40.0,city_173,,No relevent experience,no_enrollment,Masters,STEM,7,1000-4999,Pvt Ltd,3,0
384.0,0.92,102.0,city_103,Male,No relevent experience,Full time course,Graduate,Other,9,1000-4999,Pvt Ltd,>4,0
27082.0,0.624,72.0,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Funded Startup,1,0
4671.0,0.579,16.0,city_74,,No relevent experience,Full time course,Graduate,STEM,1,,,1,1
12132.0,0.92,17.0,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,4,0
26713.0,0.92,8.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,2,0
6384.0,0.926,156.0,city_114,Male,Has relevent experience,no_enrollment,Graduate,No Major,20,,,>4,0
30549.0,0.92,21.0,city_160,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,1,0
22030.0,0.743,128.0,city_116,Male,No relevent experience,Full time course,Graduate,STEM,4,,,,0
20452.0,0.92,10.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1000-4999,Public Sector,4,0
20204.0,0.92,160.0,city_160,Male,Has relevent experience,no_enrollment,High School,,>20,<10,Pvt Ltd,>4,0
27401.0,0.92,30.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,2,0
11098.0,0.74,170.0,city_53,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,0
20494.0,0.92,57.0,city_160,Male,Has relevent experience,no_enrollment,Graduate,Other,8,50-99,Pvt Ltd,>4,1
8254.0,0.804,41.0,city_102,Female,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,>4,0
9380.0,0.913,27.0,city_61,Male,No relevent experience,Full time course,High School,,9,,,1,0
8442.0,0.855,54.0,city_67,,Has relevent experience,no_enrollment,Graduate,STEM,5,,,1,0
17641.0,0.866,54.0,city_57,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,,>4,0
31424.0,0.92,82.0,city_160,,No relevent experience,Full time course,High School,,10,,,1,1
7293.0,0.92,49.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,,,>4,1
32593.0,0.926,102.0,city_114,Male,No relevent experience,Full time course,High School,,6,,,1,1
19175.0,0.624,224.0,city_21,Male,No relevent experience,Full time course,Graduate,STEM,7,,,1,0
16730.0,0.893,62.0,city_36,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,<10,Pvt Ltd,>4,0
32750.0,0.92,134.0,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,0
16243.0,0.624,134.0,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,11,1000-4999,Pvt Ltd,1,0
23821.0,0.742,44.0,city_133,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10000+,NGO,>4,0
21104.0,0.92,66.0,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Public Sector,1,0
6812.0,0.6659999999999999,110.0,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,0
2267.0,0.895,172.0,city_10,Male,Has relevent experience,Part time course,High School,,13,50-99,Pvt Ltd,2,0
4644.0,0.743,26.0,city_116,Male,Has relevent experience,no_enrollment,Masters,STEM,12,,,3,0
9486.0,0.92,52.0,city_103,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,1000-4999,Pvt Ltd,1,0
22862.0,0.802,130.0,city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,5000-9999,Pvt Ltd,>4,1
25708.0,0.926,51.0,city_114,Male,No relevent experience,Full time course,Graduate,STEM,6,50-99,NGO,1,1
10379.0,0.722,14.0,city_118,Male,Has relevent experience,no_enrollment,Masters,STEM,2,100-500,Pvt Ltd,1,0
32494.0,0.92,166.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,6,100-500,Pvt Ltd,3,1
25356.0,0.91,198.0,city_16,Male,No relevent experience,no_enrollment,High School,,5,10000+,Pvt Ltd,1,0
24288.0,0.624,23.0,city_21,,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,>4,0
25822.0,0.895,20.0,city_10,Other,No relevent experience,Full time course,Graduate,STEM,5,,,1,1
22210.0,0.939,123.0,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,4,0
8037.0,0.8270000000000001,109.0,city_41,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,,,1,0
2647.0,0.764,62.0,city_176,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,0
4483.0,0.92,68.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,1,0
28474.0,0.855,19.0,city_67,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,4,0
4460.0,0.92,40.0,city_103,Female,No relevent experience,Full time course,Graduate,STEM,9,,,never,1
21719.0,0.893,18.0,city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,4,500-999,Public Sector,1,0
22335.0,0.92,34.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Early Stage Startup,>4,0
33079.0,0.923,44.0,city_83,Male,Has relevent experience,Full time course,Graduate,STEM,11,1000-4999,Pvt Ltd,1,0
7929.0,0.893,5.0,city_36,Male,Has relevent experience,Part time course,Graduate,STEM,6,10/49,Pvt Ltd,4,0
23341.0,0.579,67.0,city_74,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,1000-4999,Pvt Ltd,1,0
30635.0,0.624,65.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,Humanities,8,,,1,0
18554.0,0.836,86.0,city_138,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,0
26147.0,0.89,50.0,city_45,Male,Has relevent experience,no_enrollment,High School,,11,,,2,1
15424.0,0.624,63.0,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,13,,,never,1
3597.0,0.92,70.0,city_103,Female,Has relevent experience,no_enrollment,Graduate,Other,4,100-500,Pvt Ltd,3,0
27917.0,0.92,39.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,never,0
21510.0,0.624,95.0,city_21,Male,Has relevent experience,Full time course,Masters,STEM,6,50-99,Pvt Ltd,1,1
18651.0,0.624,16.0,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,,,0
8069.0,0.89,39.0,city_45,Male,Has relevent experience,no_enrollment,High School,,14,50-99,Pvt Ltd,2,0
4693.0,0.624,70.0,city_21,,No relevent experience,Part time course,Graduate,STEM,4,100-500,Pvt Ltd,never,1
29373.0,0.92,65.0,city_103,Male,No relevent experience,Part time course,Graduate,STEM,14,10000+,NGO,>4,0
29847.0,0.89,106.0,city_45,Male,No relevent experience,Full time course,Graduate,STEM,7,,,1,1
27426.0,0.92,184.0,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,1,1
24913.0,0.624,58.0,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,1,1
4733.0,0.92,96.0,city_103,Female,Has relevent experience,no_enrollment,Graduate,Humanities,>20,1000-4999,Pvt Ltd,4,0
10458.0,0.939,4.0,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,3,0
27377.0,0.878,6.0,city_173,,No relevent experience,Part time course,Masters,STEM,>20,500-999,NGO,never,0
9832.0,0.926,110.0,city_114,,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,0
4723.0,0.84,6.0,city_144,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,>4,0
16109.0,0.92,74.0,city_160,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,1
11739.0,0.926,84.0,city_114,Male,Has relevent experience,Part time course,Graduate,STEM,18,100-500,NGO,3,0
23508.0,0.92,22.0,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,1,0
4442.0,0.92,210.0,city_103,Male,No relevent experience,no_enrollment,Phd,STEM,>20,,,>4,0
6005.0,0.624,109.0,city_21,,No relevent experience,Part time course,Graduate,STEM,7,5000-9999,Pvt Ltd,2,0
21580.0,0.624,28.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,,,3,1
22924.0,0.7759999999999999,41.0,city_175,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,1,0
21609.0,0.55,196.0,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,1
32400.0,0.518,21.0,city_107,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,1
25441.0,0.92,90.0,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,16,10000+,Pvt Ltd,>4,0
27296.0,0.624,134.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,1,1
22306.0,0.527,264.0,city_128,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,,,1,0
13198.0,0.939,218.0,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,2,0
4142.0,0.92,30.0,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,NGO,>4,1
12224.0,0.92,59.0,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,1
3824.0,0.92,26.0,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,Public Sector,>4,0
6973.0,0.923,31.0,city_83,Male,No relevent experience,no_enrollment,Masters,STEM,19,500-999,Pvt Ltd,>4,0
28519.0,0.91,34.0,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,1,1
401.0,0.92,14.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,>4,0
17108.0,0.92,34.0,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,1,0
15417.0,0.884,34.0,city_71,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,0
20366.0,0.624,24.0,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,1
26229.0,0.939,4.0,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,0
27737.0,0.92,110.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,,,>4,1
2888.0,0.91,80.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,never,0
33070.0,0.893,78.0,city_36,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,0
24052.0,0.624,30.0,city_21,Male,Has relevent experience,Full time course,Masters,STEM,3,100-500,Pvt Ltd,3,0
18280.0,0.92,11.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,1000-4999,NGO,>4,0
13921.0,0.92,6.0,city_103,,Has relevent experience,no_enrollment,Masters,Business Degree,15,10000+,Pvt Ltd,>4,1
174.0,0.722,28.0,city_118,Male,No relevent experience,Full time course,High School,,2,500-999,Pvt Ltd,never,0
2533.0,0.767,48.0,city_162,Male,Has relevent experience,Full time course,Graduate,STEM,4,500-999,Pvt Ltd,1,0
16712.0,0.579,27.0,city_74,Male,Has relevent experience,no_enrollment,Masters,Humanities,10,,,never,0
124.0,0.92,34.0,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,1
1318.0,0.92,25.0,city_160,Male,Has relevent experience,no_enrollment,Masters,STEM,14,500-999,NGO,2,0
26123.0,0.92,25.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,2,0
2847.0,0.913,41.0,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,0
9847.0,0.92,51.0,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,0
23935.0,0.926,53.0,city_114,,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Early Stage Startup,4,0
27064.0,0.92,94.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,2,0
17998.0,0.8959999999999999,30.0,city_50,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,,,1,0
29167.0,0.92,96.0,city_103,Male,Has relevent experience,no_enrollment,Masters,Other,>20,10000+,Pvt Ltd,2,0
27838.0,0.923,66.0,city_83,Male,No relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,0
30117.0,0.92,32.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,1,0
612.0,0.92,332.0,city_103,Male,No relevent experience,Full time course,High School,,4,,NGO,1,1
4104.0,0.8270000000000001,96.0,city_41,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,0
32538.0,0.91,90.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Pvt Ltd,1,0
23231.0,0.92,17.0,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,,,4,0
31965.0,0.92,56.0,city_103,Male,No relevent experience,Full time course,Graduate,STEM,3,,,never,0
10539.0,0.624,103.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,Humanities,15,10/49,Pvt Ltd,1,0
24458.0,0.92,107.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,>4,0
11449.0,0.624,164.0,city_21,,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Early Stage Startup,1,1
20953.0,0.624,84.0,city_21,Male,No relevent experience,no_enrollment,High School,,2,,,never,0
27803.0,0.939,40.0,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1000-4999,NGO,1,0
22074.0,0.92,72.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,3,0
32061.0,0.804,78.0,city_102,,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Pvt Ltd,1,0
14579.0,0.624,99.0,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,never,0
29521.0,0.855,57.0,city_67,Female,Has relevent experience,no_enrollment,Masters,Humanities,2,,,1,0
3104.0,0.698,18.0,city_94,Male,No relevent experience,Full time course,High School,,<1,,Pvt Ltd,never,0
12375.0,0.624,36.0,city_21,,Has relevent experience,Full time course,Graduate,STEM,<1,50-99,,2,1
28790.0,0.91,158.0,city_16,Male,Has relevent experience,no_enrollment,Masters,Humanities,14,10000+,Pvt Ltd,1,0
19718.0,0.91,162.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,Humanities,17,500-999,,1,0
8920.0,0.92,43.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,1,1
19231.0,0.92,192.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,7,,,>4,1
31939.0,0.89,86.0,city_45,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,0
12277.0,0.738,47.0,city_123,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Funded Startup,1,0
18010.0,0.939,59.0,city_28,Male,Has relevent experience,Full time course,Graduate,STEM,7,,,2,0
30042.0,0.92,58.0,city_103,Female,No relevent experience,Full time course,Masters,STEM,11,,,1,0
25469.0,0.92,74.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,0
33104.0,0.91,28.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,3,0
8180.0,0.939,43.0,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,15,,,>4,0
20586.0,0.738,29.0,city_123,Male,Has relevent experience,no_enrollment,Graduate,Humanities,2,,,1,1
33249.0,0.754,60.0,city_73,Male,No relevent experience,Part time course,High School,,3,,,1,1
9439.0,0.926,16.0,city_114,,No relevent experience,Full time course,Graduate,STEM,6,10000+,Pvt Ltd,1,0
16254.0,0.624,58.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,,4,0
8025.0,0.89,46.0,city_45,,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,1,0
12895.0,0.926,72.0,city_114,Male,Has relevent experience,Part time course,High School,,15,50-99,Pvt Ltd,3,0
7866.0,0.897,180.0,city_136,Female,Has relevent experience,no_enrollment,Masters,STEM,10,10/49,Pvt Ltd,4,0
26672.0,0.92,17.0,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,17,1000-4999,Pvt Ltd,3,0
23222.0,0.92,109.0,city_103,,No relevent experience,no_enrollment,Masters,STEM,15,,,>4,1
13199.0,0.92,54.0,city_103,Male,No relevent experience,Full time course,High School,,3,,,1,1
25849.0,0.92,38.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,1000-4999,Pvt Ltd,>4,0
14595.0,0.624,74.0,city_21,,Has relevent experience,Full time course,Graduate,STEM,5,5000-9999,Pvt Ltd,1,1
11538.0,0.92,29.0,city_103,,No relevent experience,no_enrollment,Primary School,,<1,,,never,1
8369.0,0.91,26.0,city_16,,Has relevent experience,Full time course,Phd,STEM,14,500-999,Public Sector,1,0
12250.0,0.865,50.0,city_93,Male,Has relevent experience,Full time course,High School,,6,50-99,Funded Startup,1,0
6458.0,0.624,46.0,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Early Stage Startup,>4,1
32815.0,0.624,108.0,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,>4,1
12680.0,0.91,5.0,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,8,<10,Funded Startup,3,0
10654.0,0.91,61.0,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Funded Startup,1,0
6111.0,0.926,15.0,city_114,Male,No relevent experience,Part time course,Masters,STEM,>20,<10,Funded Startup,1,0
13756.0,0.92,20.0,city_103,,Has relevent experience,Part time course,Graduate,STEM,1,,,1,1
25994.0,0.91,24.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,,,>4,0
