V1,V2,V5,V7,V8,V10,V11,V16,V17,V18,V20,V21,V22,V23,V24,V26,V27,V28,V29,V30,V32,V33,V35,V36,V41,V42,V43,V45,V46,V50,V52,V53,V54,V59,V60,V61,V62,V63,V65,V67,V70,V71,V72,V73,V74,V75,V76,V77,V78,V80,V82,V85,V86,V87,V88,V91,V94,V95,V3,V4,V6,V9,V12,V13,V14,V15,V19,V25,V31,V34,V37,V38,V39,V40,V44,V47,V48,V49,V51,V55,V56,V57,V58,V64,V66,V68,V69,V79,V81,V83,V84,V89,V90,V92,V93,V96,V97,V98,V99,V100,label
0.0,1.0,0.04,1.0,2.0,3.0,77386.0,0.42,587.0,34.5,50.0,75.8,0.922,258.0,4.0,0.0,335.0,0.0,0.939,835.0,0.623,599.0,5919.0,0.582,3.0,6224.0,3.0,8.01,1.0,1.0,1.0,6.6,1.0,54045.0,6648.0,21.4,0.0,29.6,2.0,16090.0,6.81,3.0,6504.0,0.55,2334.0,2.0,75.0,79.3,2.0,0.0,3.61,62.9,3.56,1.0,885.0,1.0,0.0,5978.0,v6,v1,v2,v1,v1,v1,v5,v6,v1,v2,v1,v2,v4,v2,v2,v1,v3,v1,v3,v4,v5,v3,v4,v3,v1,v4,v2,v3,v2,v3,v1,v3,v2,v1,v2,v1,v2,v3,v3,v5,v2,v3,2
0.0,2.0,0.36,0.0,3.0,2.0,80480.0,0.39,716.0,37.2,38.0,76.8,0.864,266.0,4.0,0.0,388.0,3.0,0.918,865.0,0.639,600.0,4057.0,0.675,3.0,7310.0,0.0,7.46,0.0,2.0,0.0,3.93,1.0,54331.0,6368.0,63.4,1.0,30.8,2.0,20452.0,5.58,0.0,7239.0,0.52,5135.0,1.0,68.0,80.3,2.0,0.0,5.42,44.1,7.32,0.0,437.0,1.0,1.0,5521.0,v5,v2,v3,v1,v3,v2,v2,v6,v2,v2,v2,v3,v5,v2,v2,v1,v1,v2,v1,v2,v1,v2,v4,v2,v3,v4,v1,v3,v1,v4,v1,v1,v2,v4,v2,v2,v2,v1,v3,v2,v1,v1,1
1.0,3.0,0.04,0.0,3.0,2.0,37715.0,0.51,456.0,35.2,50.0,78.7,0.914,264.0,3.0,0.0,481.0,4.0,0.926,853.0,0.458,605.0,5226.0,0.146,0.0,5363.0,2.0,7.51,0.0,0.0,1.0,7.18,0.0,52846.0,5887.0,86.7,1.0,31.6,1.0,20018.0,6.64,2.0,7098.0,0.51,4016.0,2.0,71.0,81.9,0.0,1.0,6.53,46.7,6.27,0.0,905.0,0.0,0.0,5905.0,v2,v3,v1,v1,v3,v2,v3,v1,v1,v4,v2,v6,v5,v3,v2,v1,v3,v5,v2,v1,v2,v5,v3,v2,v1,v5,v1,v1,v4,v1,v3,v2,v1,v6,v1,v1,v2,v1,v2,v5,v1,v4,1
1.0,4.0,0.04,1.0,0.0,3.0,87391.0,0.12,757.0,31.9,66.0,79.3,0.886,248.0,0.0,1.0,407.0,2.0,0.934,763.0,0.545,656.0,5089.0,0.498,0.0,6227.0,3.0,7.47,2.0,2.0,3.0,3.85,0.0,65289.0,6045.0,45.7,1.0,30.8,2.0,16088.0,6.91,3.0,6304.0,0.66,2326.0,1.0,68.0,81.3,4.0,1.0,4.12,46.1,3.86,3.0,369.0,2.0,0.0,5717.0,v3,v4,v2,v2,v3,v1,v5,v6,v2,v1,v1,v4,v5,v4,v2,v1,v3,v1,v1,v4,v2,v3,v1,v2,v2,v2,v1,v5,v1,v4,v3,v2,v1,v3,v2,v2,v1,v5,v1,v5,v1,v4,1
1.0,4.0,0.04,0.0,3.0,0.0,68806.0,0.52,869.0,36.7,37.0,68.4,0.939,215.0,0.0,0.0,431.0,4.0,0.913,848.0,0.501,656.0,6120.0,0.226,1.0,6306.0,2.0,8.17,3.0,0.0,3.0,6.43,1.0,52322.0,5870.0,52.2,0.0,30.7,1.0,20172.0,5.58,2.0,7085.0,0.58,3091.0,0.0,67.0,82.5,1.0,0.0,6.47,55.6,4.38,1.0,621.0,1.0,1.0,5571.0,v6,v1,v3,v2,v3,v2,v1,v1,v1,v1,v2,v1,v4,v1,v3,v1,v1,v1,v3,v5,v4,v4,v3,v3,v2,v3,v1,v2,v4,v3,v3,v2,v1,v5,v2,v2,v2,v2,v1,v2,v1,v5,1
0.0,2.0,0.31,0.0,1.0,3.0,71942.0,0.54,575.0,31.2,50.0,71.8,0.899,241.0,1.0,0.0,323.0,1.0,0.943,719.0,0.607,659.0,3975.0,0.861,1.0,6436.0,0.0,8.5,3.0,2.0,2.0,4.51,1.0,54739.0,5677.0,50.8,1.0,35.3,1.0,20273.0,6.31,2.0,7330.0,0.26,3191.0,2.0,70.0,82.7,0.0,1.0,4.11,45.0,4.26,3.0,464.0,0.0,1.0,5724.0,v4,v1,v1,v4,v1,v1,v2,v5,v1,v1,v1,v2,v3,v3,v5,v1,v2,v3,v1,v5,v4,v3,v1,v2,v3,v2,v1,v1,v1,v2,v3,v1,v1,v6,v1,v1,v2,v5,v1,v2,v2,v4,0
0.0,4.0,0.04,1.0,2.0,2.0,71924.0,0.35,821.0,29.2,36.0,84.8,0.955,276.0,2.0,1.0,409.0,2.0,0.933,878.0,0.626,656.0,5205.0,0.17,2.0,5879.0,3.0,7.75,3.0,1.0,3.0,4.86,1.0,73261.0,6535.0,15.9,0.0,61.2,2.0,20234.0,7.02,0.0,7320.0,0.44,2642.0,2.0,81.0,79.3,3.0,0.0,3.64,44.2,5.8,3.0,386.0,1.0,1.0,5459.0,v3,v3,v1,v4,v2,v1,v4,v5,v1,v1,v2,v5,v3,v1,v3,v1,v2,v5,v1,v4,v1,v2,v4,v1,v2,v5,v2,v5,v2,v5,v2,v2,v2,v3,v2,v2,v1,v4,v3,v6,v1,v5,0
0.0,0.0,0.33,1.0,1.0,0.0,44750.0,0.4,399.0,31.2,27.0,80.2,0.863,244.0,3.0,1.0,394.0,0.0,0.939,708.0,0.605,643.0,4056.0,0.133,1.0,6323.0,4.0,7.56,0.0,1.0,2.0,3.82,0.0,48524.0,5774.0,46.9,0.0,31.0,2.0,19069.0,6.7,2.0,6464.0,0.49,6130.0,1.0,63.0,81.4,1.0,0.0,6.51,56.6,5.66,3.0,489.0,0.0,0.0,5202.0,v4,v2,v1,v4,v3,v2,v5,v5,v2,v4,v2,v3,v4,v3,v1,v2,v1,v3,v1,v4,v4,v3,v4,v2,v2,v3,v2,v4,v1,v1,v1,v3,v2,v2,v3,v1,v1,v3,v3,v4,v1,v1,0
0.0,0.0,0.46,1.0,1.0,3.0,33145.0,0.3,312.0,37.1,53.0,83.1,0.882,268.0,3.0,0.0,301.0,3.0,0.916,717.0,0.626,656.0,6439.0,0.511,2.0,6401.0,4.0,7.57,0.0,1.0,1.0,4.17,1.0,53664.0,5677.0,46.7,0.0,32.2,2.0,17225.0,7.28,0.0,6583.0,0.15,2654.0,0.0,68.0,84.4,0.0,0.0,6.09,46.8,4.18,2.0,837.0,1.0,1.0,5123.0,v5,v3,v2,v4,v3,v2,v5,v4,v1,v2,v2,v1,v4,v2,v4,v1,v1,v1,v1,v5,v1,v3,v2,v1,v3,v5,v1,v1,v1,v3,v4,v1,v1,v4,v1,v2,v2,v1,v1,v6,v1,v3,1
0.0,3.0,0.39,1.0,0.0,1.0,46148.0,0.57,873.0,34.2,39.0,72.0,0.939,240.0,2.0,0.0,411.0,2.0,0.934,729.0,0.637,605.0,5029.0,0.349,3.0,6228.0,2.0,8.7,3.0,0.0,2.0,3.75,1.0,55188.0,5696.0,82.9,1.0,33.1,1.0,19591.0,6.36,2.0,6105.0,0.58,2518.0,2.0,71.0,82.1,4.0,1.0,5.42,45.8,3.49,2.0,415.0,2.0,0.0,5483.0,v5,v3,v3,v4,v3,v2,v5,v4,v1,v2,v2,v1,v1,v1,v3,v2,v2,v5,v3,v3,v4,v5,v5,v1,v3,v4,v1,v4,v3,v2,v1,v3,v1,v1,v1,v2,v1,v1,v3,v3,v2,v2,1
0.0,3.0,0.27,0.0,2.0,2.0,71919.0,0.43,840.0,31.7,64.0,81.8,0.934,274.0,0.0,0.0,456.0,4.0,0.932,817.0,0.602,646.0,5134.0,0.29,2.0,7377.0,0.0,7.6,3.0,0.0,1.0,6.4,1.0,52161.0,5659.0,41.1,0.0,31.2,1.0,17245.0,6.6,1.0,6794.0,0.67,2791.0,2.0,72.0,83.7,3.0,1.0,6.45,48.1,7.91,1.0,437.0,0.0,1.0,5528.0,v2,v1,v3,v1,v1,v2,v3,v3,v1,v2,v2,v5,v3,v2,v5,v2,v4,v4,v2,v1,v2,v3,v2,v3,v2,v3,v1,v1,v4,v3,v4,v3,v1,v4,v1,v1,v1,v1,v1,v4,v1,v5,1
1.0,1.0,0.04,0.0,2.0,3.0,76651.0,0.23,579.0,27.9,50.0,84.1,0.955,205.0,2.0,1.0,410.0,3.0,0.91,704.0,0.658,601.0,4591.0,0.718,0.0,6380.0,2.0,7.72,0.0,2.0,1.0,6.77,1.0,51777.0,6305.0,52.0,0.0,57.0,2.0,19494.0,5.75,3.0,6649.0,0.15,6278.0,0.0,68.0,81.8,2.0,1.0,5.43,58.3,3.37,0.0,481.0,0.0,1.0,5690.0,v3,v1,v1,v1,v1,v1,v1,v4,v2,v1,v1,v2,v1,v2,v5,v2,v1,v4,v3,v2,v1,v4,v5,v3,v3,v1,v2,v2,v3,v5,v4,v3,v1,v5,v2,v2,v1,v5,v1,v5,v2,v4,0
0.0,0.0,0.45,1.0,1.0,3.0,78352.0,0.37,442.0,30.5,30.0,73.0,0.871,285.0,2.0,1.0,445.0,4.0,0.927,877.0,0.599,658.0,6496.0,0.52,0.0,6402.0,0.0,7.76,2.0,0.0,2.0,7.09,1.0,65136.0,6307.0,63.8,1.0,30.7,2.0,16084.0,6.83,2.0,6967.0,0.15,4462.0,2.0,68.0,79.2,2.0,0.0,6.33,52.6,4.65,1.0,759.0,0.0,0.0,6162.0,v2,v2,v1,v3,v1,v2,v4,v4,v1,v1,v2,v3,v1,v3,v2,v2,v2,v1,v1,v5,v5,v4,v1,v2,v3,v4,v2,v3,v1,v3,v4,v3,v1,v3,v2,v2,v1,v4,v3,v3,v2,v3,0
0.0,1.0,0.39,1.0,2.0,3.0,39496.0,0.25,346.0,36.3,59.0,80.2,0.944,253.0,3.0,1.0,448.0,2.0,0.933,876.0,0.567,646.0,4056.0,0.927,2.0,7270.0,3.0,8.54,3.0,2.0,0.0,5.71,0.0,65051.0,6940.0,17.3,1.0,31.4,0.0,16106.0,5.57,2.0,6826.0,0.63,2489.0,2.0,78.0,80.8,1.0,1.0,4.25,45.6,7.87,3.0,655.0,1.0,0.0,5144.0,v2,v4,v2,v2,v1,v1,v3,v4,v1,v2,v1,v1,v5,v4,v1,v2,v1,v6,v3,v6,v2,v3,v4,v1,v3,v4,v1,v2,v2,v4,v4,v3,v2,v4,v3,v2,v2,v5,v3,v6,v1,v1,0
0.0,2.0,0.25,1.0,0.0,0.0,47501.0,0.45,902.0,31.1,60.0,67.0,0.92,246.0,1.0,0.0,425.0,2.0,0.932,829.0,0.447,647.0,5831.0,0.15,2.0,6402.0,3.0,7.71,0.0,0.0,1.0,4.58,1.0,45233.0,6264.0,84.4,1.0,29.1,1.0,13558.0,7.09,1.0,5728.0,0.26,2256.0,2.0,71.0,80.6,5.0,0.0,6.73,43.9,4.36,1.0,471.0,2.0,1.0,5217.0,v6,v3,v2,v4,v3,v1,v3,v4,v2,v4,v1,v3,v2,v4,v3,v2,v5,v2,v1,v2,v4,v1,v4,v3,v3,v1,v2,v5,v4,v3,v1,v2,v2,v4,v2,v2,v2,v1,v2,v4,v2,v2,2
0.0,1.0,0.33,0.0,3.0,2.0,71979.0,0.26,858.0,31.1,30.0,78.5,0.854,286.0,4.0,1.0,311.0,3.0,0.926,848.0,0.611,603.0,4961.0,0.686,1.0,5498.0,0.0,8.42,1.0,2.0,0.0,4.22,0.0,43293.0,6290.0,34.3,0.0,30.4,0.0,15343.0,7.49,2.0,7323.0,0.28,7282.0,2.0,68.0,83.3,2.0,1.0,3.85,43.6,4.23,1.0,399.0,2.0,1.0,5157.0,v3,v2,v3,v1,v1,v1,v5,v2,v2,v4,v2,v5,v5,v2,v3,v1,v3,v6,v2,v5,v5,v3,v4,v3,v2,v3,v1,v3,v2,v3,v3,v1,v2,v6,v3,v2,v2,v4,v2,v4,v2,v5,1
0.0,4.0,0.23,0.0,1.0,2.0,84005.0,0.3,352.0,37.2,35.0,66.4,0.912,265.0,3.0,1.0,297.0,2.0,0.909,556.0,0.442,597.0,4128.0,0.68,0.0,6149.0,0.0,7.67,0.0,0.0,2.0,6.46,1.0,50090.0,6309.0,27.7,0.0,35.2,2.0,22213.0,6.77,1.0,7034.0,0.63,2937.0,2.0,68.0,79.6,0.0,1.0,5.93,46.9,4.41,2.0,386.0,1.0,0.0,5126.0,v4,v2,v3,v3,v3,v2,v2,v4,v2,v2,v1,v5,v1,v1,v2,v2,v5,v1,v3,v5,v3,v4,v1,v1,v2,v2,v1,v1,v2,v3,v3,v1,v2,v3,v2,v1,v2,v1,v2,v3,v2,v4,1
0.0,4.0,0.14,1.0,3.0,1.0,71930.0,0.26,312.0,31.1,50.0,72.0,0.923,248.0,1.0,1.0,322.0,1.0,0.938,737.0,0.595,645.0,4015.0,0.144,0.0,6231.0,3.0,7.86,0.0,1.0,2.0,7.19,1.0,57601.0,5908.0,18.8,0.0,33.4,1.0,23299.0,5.98,3.0,6822.0,0.45,4087.0,0.0,87.0,82.3,3.0,0.0,5.52,46.3,5.57,0.0,450.0,0.0,0.0,5853.0,v4,v4,v2,v3,v3,v2,v3,v3,v2,v3,v2,v3,v1,v1,v2,v2,v2,v6,v2,v1,v2,v2,v3,v3,v3,v3,v1,v1,v2,v4,v3,v2,v1,v6,v2,v1,v2,v2,v1,v5,v1,v3,0
0.0,1.0,0.18,0.0,3.0,2.0,95699.0,0.51,792.0,37.1,35.0,75.6,0.889,227.0,2.0,1.0,464.0,4.0,0.943,554.0,0.66,592.0,5013.0,0.489,3.0,6092.0,4.0,7.84,2.0,1.0,1.0,3.71,0.0,58087.0,6123.0,51.1,0.0,31.0,0.0,22005.0,5.58,2.0,6824.0,0.39,3028.0,2.0,65.0,79.0,5.0,1.0,6.44,44.7,4.56,3.0,390.0,2.0,0.0,6048.0,v6,v4,v1,v2,v3,v1,v2,v1,v2,v4,v1,v1,v3,v3,v1,v2,v1,v5,v1,v4,v1,v4,v1,v1,v3,v3,v1,v3,v2,v5,v4,v3,v1,v3,v2,v2,v1,v1,v1,v4,v1,v4,0
1.0,2.0,0.22,1.0,2.0,1.0,79156.0,0.36,886.0,33.5,57.0,67.5,0.875,247.0,0.0,1.0,431.0,3.0,0.912,717.0,0.676,649.0,5248.0,0.771,1.0,6228.0,2.0,8.26,2.0,0.0,3.0,6.46,1.0,41616.0,6700.0,67.9,1.0,35.6,2.0,19040.0,6.62,0.0,6250.0,0.21,7821.0,2.0,70.0,81.3,1.0,0.0,4.72,63.6,7.63,2.0,578.0,1.0,0.0,5418.0,v4,v1,v1,v4,v1,v1,v2,v6,v2,v2,v1,v3,v4,v2,v3,v1,v5,v4,v2,v4,v3,v2,v2,v2,v1,v2,v1,v2,v4,v5,v4,v1,v2,v5,v3,v2,v1,v1,v1,v5,v2,v2,1
0.0,3.0,0.47,1.0,1.0,3.0,65783.0,0.33,751.0,33.3,64.0,76.4,0.94,213.0,0.0,0.0,423.0,3.0,0.937,550.0,0.577,656.0,4047.0,0.489,0.0,5397.0,3.0,7.42,3.0,0.0,0.0,6.31,1.0,55139.0,6429.0,48.1,1.0,29.8,1.0,20133.0,7.51,3.0,6854.0,0.15,3263.0,1.0,69.0,83.1,3.0,1.0,6.53,45.5,3.44,3.0,672.0,0.0,0.0,6137.0,v4,v4,v1,v4,v2,v1,v5,v2,v2,v1,v2,v4,v2,v2,v5,v1,v3,v2,v2,v1,v5,v1,v3,v1,v3,v5,v2,v1,v4,v1,v1,v2,v1,v1,v2,v2,v2,v2,v3,v5,v1,v5,1
1.0,4.0,0.25,1.0,3.0,3.0,85065.0,0.38,889.0,31.1,61.0,77.0,0.917,275.0,2.0,1.0,407.0,4.0,0.93,679.0,0.556,599.0,5880.0,0.473,1.0,6092.0,1.0,7.45,2.0,1.0,2.0,6.92,1.0,54825.0,5871.0,48.9,0.0,61.4,0.0,19650.0,7.01,1.0,6835.0,0.45,2331.0,2.0,71.0,79.4,0.0,1.0,6.44,63.5,3.89,0.0,453.0,1.0,1.0,5737.0,v3,v4,v3,v3,v2,v2,v3,v1,v2,v4,v1,v5,v5,v1,v3,v2,v2,v5,v2,v1,v4,v3,v4,v3,v1,v2,v2,v3,v3,v5,v3,v1,v1,v6,v2,v2,v1,v2,v1,v2,v2,v2,0
0.0,2.0,0.04,1.0,2.0,3.0,72197.0,0.25,853.0,27.2,28.0,68.4,0.915,187.0,2.0,0.0,445.0,2.0,0.938,844.0,0.627,594.0,5296.0,0.138,0.0,6674.0,2.0,8.2,3.0,0.0,2.0,6.85,0.0,49657.0,6572.0,50.2,1.0,60.1,0.0,13170.0,5.58,1.0,5847.0,0.18,2394.0,0.0,70.0,82.6,1.0,1.0,3.65,57.0,6.15,0.0,529.0,2.0,0.0,5721.0,v6,v2,v2,v1,v2,v1,v5,v3,v1,v2,v2,v3,v3,v3,v5,v1,v5,v1,v1,v6,v1,v2,v3,v1,v2,v3,v1,v4,v3,v2,v4,v3,v1,v3,v2,v2,v2,v2,v1,v5,v2,v5,0
0.0,4.0,0.25,1.0,1.0,3.0,72001.0,0.29,360.0,34.0,47.0,69.7,0.958,279.0,4.0,0.0,344.0,1.0,0.932,802.0,0.628,648.0,5275.0,0.18,0.0,6592.0,4.0,7.34,3.0,2.0,0.0,5.0,1.0,51118.0,6408.0,67.0,0.0,41.7,0.0,16700.0,5.58,2.0,6917.0,0.74,5362.0,2.0,93.0,82.8,4.0,0.0,4.21,58.5,4.63,1.0,664.0,0.0,1.0,5703.0,v5,v1,v2,v2,v2,v1,v2,v2,v1,v1,v1,v1,v5,v4,v4,v2,v1,v4,v1,v6,v3,v3,v1,v3,v1,v5,v2,v1,v3,v5,v4,v3,v1,v2,v1,v1,v2,v5,v3,v5,v1,v4,0
0.0,4.0,0.04,1.0,2.0,1.0,71990.0,0.1,772.0,37.2,50.0,79.3,0.865,209.0,1.0,0.0,477.0,2.0,0.94,833.0,0.558,600.0,4054.0,0.445,2.0,6204.0,3.0,7.76,3.0,2.0,0.0,3.66,0.0,53975.0,5728.0,85.5,1.0,36.9,0.0,16073.0,5.57,2.0,6090.0,0.15,2469.0,2.0,91.0,81.8,2.0,0.0,6.39,45.5,4.15,0.0,558.0,2.0,0.0,5446.0,v4,v2,v1,v4,v1,v2,v5,v3,v2,v4,v2,v3,v2,v2,v4,v1,v1,v4,v1,v6,v2,v1,v2,v2,v3,v5,v2,v5,v3,v5,v4,v2,v1,v4,v3,v1,v2,v4,v3,v3,v2,v4,1
0.0,2.0,0.06,1.0,0.0,1.0,71918.0,0.53,904.0,31.1,46.0,73.3,0.883,249.0,3.0,0.0,466.0,1.0,0.915,858.0,0.576,597.0,4007.0,0.31,3.0,7368.0,0.0,7.53,2.0,0.0,3.0,4.81,1.0,46667.0,6175.0,51.1,0.0,29.4,1.0,23202.0,6.9,3.0,7346.0,0.6,3121.0,2.0,70.0,79.6,3.0,0.0,4.31,47.5,5.85,1.0,668.0,2.0,0.0,5242.0,v3,v4,v3,v4,v3,v2,v3,v6,v1,v2,v2,v5,v4,v1,v1,v2,v1,v6,v1,v1,v4,v3,v3,v1,v2,v5,v2,v5,v2,v5,v1,v1,v1,v5,v1,v2,v2,v4,v3,v1,v1,v5,1
1.0,2.0,0.27,0.0,1.0,3.0,54549.0,0.39,723.0,29.9,38.0,77.5,0.923,214.0,0.0,0.0,430.0,3.0,0.942,878.0,0.6,646.0,4322.0,0.433,2.0,5821.0,0.0,7.71,3.0,2.0,0.0,6.96,0.0,68217.0,5732.0,50.5,1.0,46.2,2.0,20376.0,5.57,3.0,6882.0,0.42,2261.0,2.0,92.0,81.7,0.0,0.0,6.34,46.8,7.9,2.0,394.0,2.0,0.0,5621.0,v3,v3,v2,v4,v1,v2,v4,v4,v1,v1,v1,v3,v3,v1,v4,v2,v4,v4,v2,v5,v5,v3,v2,v3,v2,v4,v1,v3,v2,v2,v3,v2,v1,v2,v1,v1,v1,v1,v1,v1,v1,v5,1
0.0,1.0,0.28,0.0,0.0,2.0,31047.0,0.55,474.0,37.2,57.0,78.7,0.917,223.0,1.0,0.0,332.0,0.0,0.935,711.0,0.599,652.0,4258.0,0.296,3.0,6251.0,3.0,7.44,3.0,1.0,2.0,4.29,0.0,51669.0,6725.0,30.8,1.0,31.4,1.0,21942.0,6.94,1.0,6302.0,0.29,2939.0,1.0,68.0,82.6,4.0,1.0,3.57,47.1,4.31,0.0,480.0,1.0,0.0,5523.0,v2,v2,v1,v1,v2,v1,v4,v1,v2,v4,v1,v4,v3,v2,v4,v1,v2,v6,v2,v6,v4,v5,v5,v1,v1,v1,v1,v3,v4,v5,v1,v1,v2,v6,v3,v1,v1,v2,v1,v1,v2,v4,0
0.0,3.0,0.3,1.0,3.0,0.0,93018.0,0.33,879.0,33.4,41.0,75.8,0.908,269.0,1.0,1.0,357.0,1.0,0.92,783.0,0.599,660.0,4443.0,0.153,1.0,6274.0,1.0,8.76,2.0,1.0,2.0,7.0,1.0,40158.0,5720.0,45.6,1.0,60.5,2.0,16069.0,5.57,1.0,6216.0,0.15,2644.0,1.0,73.0,80.1,2.0,1.0,6.31,57.5,3.77,3.0,904.0,1.0,1.0,5843.0,v4,v3,v2,v2,v1,v2,v1,v5,v2,v4,v2,v1,v3,v2,v1,v2,v5,v1,v1,v5,v2,v1,v4,v3,v1,v5,v2,v4,v2,v4,v1,v2,v2,v1,v2,v2,v1,v3,v2,v4,v2,v1,0
1.0,2.0,0.25,1.0,0.0,3.0,42263.0,0.51,863.0,32.6,32.0,78.1,0.943,281.0,2.0,1.0,309.0,4.0,0.927,704.0,0.539,658.0,6126.0,0.18,2.0,6210.0,4.0,7.79,3.0,2.0,0.0,5.98,0.0,48125.0,6694.0,45.5,0.0,60.4,2.0,16231.0,6.62,2.0,6083.0,0.41,6738.0,1.0,70.0,79.3,0.0,1.0,6.5,43.7,4.42,3.0,476.0,0.0,0.0,5756.0,v3,v1,v2,v4,v1,v2,v4,v6,v1,v2,v2,v1,v5,v4,v2,v2,v3,v5,v2,v3,v5,v3,v2,v2,v3,v4,v2,v3,v2,v2,v1,v2,v2,v2,v3,v2,v2,v4,v3,v1,v1,v3,0
1.0,1.0,0.37,0.0,3.0,2.0,36946.0,0.21,889.0,31.0,58.0,70.6,0.816,278.0,0.0,0.0,462.0,1.0,0.933,880.0,0.64,651.0,4044.0,0.317,1.0,7307.0,4.0,7.68,3.0,0.0,1.0,3.87,0.0,41419.0,7015.0,39.3,0.0,60.5,2.0,20837.0,7.5,2.0,6356.0,0.7,2532.0,2.0,68.0,79.3,5.0,0.0,4.11,46.6,7.24,1.0,366.0,1.0,1.0,5993.0,v5,v1,v3,v1,v3,v2,v2,v3,v1,v4,v2,v2,v4,v1,v4,v2,v5,v6,v2,v1,v3,v5,v3,v2,v3,v4,v1,v1,v4,v1,v3,v2,v2,v4,v2,v2,v2,v3,v2,v6,v1,v4,1
1.0,3.0,0.47,0.0,3.0,2.0,71960.0,0.45,325.0,36.3,47.0,76.1,0.921,257.0,4.0,0.0,463.0,1.0,0.943,848.0,0.642,651.0,4055.0,0.804,0.0,6122.0,4.0,7.77,0.0,0.0,3.0,5.0,0.0,69277.0,5853.0,43.0,1.0,30.6,1.0,22250.0,6.99,0.0,6682.0,0.25,3021.0,0.0,69.0,81.6,0.0,0.0,5.86,55.1,4.72,0.0,475.0,1.0,1.0,5566.0,v4,v4,v2,v1,v3,v2,v2,v1,v1,v3,v2,v4,v3,v3,v2,v1,v1,v5,v3,v1,v4,v3,v1,v1,v1,v4,v2,v3,v2,v1,v3,v1,v2,v5,v3,v1,v1,v2,v1,v1,v1,v5,0
0.0,0.0,0.49,1.0,0.0,3.0,71933.0,0.3,871.0,30.1,34.0,70.7,0.933,282.0,4.0,1.0,447.0,3.0,0.932,876.0,0.582,651.0,6528.0,0.462,2.0,6353.0,4.0,7.93,0.0,0.0,0.0,6.72,0.0,58504.0,6301.0,51.1,0.0,60.8,2.0,19927.0,7.07,3.0,6243.0,0.54,6380.0,2.0,86.0,79.5,1.0,1.0,6.71,46.7,4.32,0.0,663.0,0.0,0.0,5612.0,v5,v1,v3,v1,v1,v1,v4,v3,v1,v4,v1,v3,v3,v3,v1,v1,v1,v1,v1,v6,v1,v2,v2,v2,v3,v1,v1,v1,v3,v2,v4,v3,v2,v2,v3,v1,v2,v5,v1,v4,v1,v2,1
1.0,4.0,0.21,0.0,3.0,1.0,35429.0,0.54,603.0,31.3,64.0,69.7,0.832,198.0,1.0,0.0,479.0,0.0,0.934,709.0,0.531,629.0,6494.0,0.349,0.0,6149.0,3.0,7.76,3.0,0.0,1.0,6.93,1.0,43144.0,6870.0,23.6,0.0,38.3,2.0,16138.0,7.03,2.0,6573.0,0.21,2876.0,0.0,73.0,82.2,5.0,0.0,3.71,45.5,5.89,3.0,473.0,2.0,1.0,5930.0,v6,v4,v2,v3,v3,v1,v3,v4,v1,v1,v1,v2,v1,v2,v3,v2,v1,v1,v1,v1,v5,v1,v4,v2,v1,v1,v1,v5,v4,v4,v3,v3,v1,v2,v2,v2,v1,v5,v2,v1,v2,v1,1
0.0,3.0,0.44,0.0,1.0,1.0,72160.0,0.38,399.0,33.6,39.0,82.2,0.915,260.0,3.0,0.0,472.0,0.0,0.933,835.0,0.608,655.0,6738.0,0.511,1.0,6238.0,3.0,7.37,3.0,0.0,1.0,6.85,0.0,41161.0,5958.0,64.0,1.0,34.4,1.0,19567.0,6.94,1.0,5970.0,0.17,3003.0,2.0,77.0,79.1,2.0,0.0,4.16,60.5,6.71,0.0,442.0,2.0,1.0,5996.0,v6,v4,v3,v3,v3,v2,v2,v6,v2,v3,v2,v4,v1,v1,v4,v1,v1,v2,v1,v1,v4,v4,v1,v3,v1,v5,v1,v3,v1,v1,v1,v3,v2,v4,v1,v1,v1,v1,v3,v1,v1,v1,1
0.0,2.0,0.25,1.0,3.0,1.0,72080.0,0.3,432.0,30.6,37.0,83.1,0.954,190.0,2.0,0.0,463.0,3.0,0.928,813.0,0.651,603.0,5333.0,0.342,3.0,5471.0,2.0,8.13,3.0,2.0,0.0,3.82,1.0,51584.0,6618.0,51.1,0.0,60.3,2.0,18215.0,7.03,2.0,7239.0,0.15,2713.0,0.0,62.0,79.5,0.0,0.0,5.42,46.2,7.68,2.0,558.0,1.0,1.0,6081.0,v6,v2,v1,v2,v3,v1,v5,v1,v2,v4,v2,v2,v1,v4,v1,v2,v4,v4,v1,v5,v4,v3,v4,v2,v1,v4,v1,v1,v1,v5,v3,v2,v2,v6,v2,v1,v1,v4,v2,v6,v2,v4,0
0.0,2.0,0.37,0.0,2.0,3.0,87158.0,0.14,384.0,25.5,64.0,84.5,0.919,208.0,0.0,1.0,464.0,0.0,0.92,545.0,0.58,602.0,5023.0,0.213,2.0,5752.0,0.0,7.6,1.0,1.0,1.0,6.74,1.0,58355.0,5854.0,40.1,1.0,58.5,0.0,16809.0,5.58,0.0,6899.0,0.31,3541.0,0.0,75.0,79.0,3.0,1.0,6.51,47.9,7.45,1.0,708.0,2.0,1.0,5654.0,v4,v3,v3,v3,v2,v1,v1,v5,v2,v4,v1,v2,v1,v2,v4,v1,v5,v2,v1,v5,v1,v1,v4,v3,v2,v1,v2,v3,v3,v3,v2,v3,v1,v1,v3,v1,v1,v2,v1,v1,v2,v4,1
