WSR0,WSR1,WSR2,WSR3,WSR4,WSR5,WSR6,WSR7,WSR8,WSR9,WSR10,WSR11,WSR12,WSR13,WSR14,WSR15,WSR16,WSR17,WSR18,WSR19,WSR20,WSR21,WSR22,WSR23,WSR_PK,WSR_AV,T85,RH85,T70,RH70,T50,RH50,HT50,SLP,SLP_,Precp,label
3.4,3,2.5,1.8,2,2.3,2.1,2.4,2.5,2.6,2.1,2,1.7,2.5,3,4.6,4.6,4.3,3.7,4.2,4.1,3.4,3.7,4.4,4.6,3,19.9,0.6,9.7,0.24,-7.1,0.21,5865,10105,35,0,0
1,1.2,0.9,0.8,1.5,1.5,1.9,2.2,2.6,3.2,2.8,3,2.5,2.5,2.4,3,3.6,3.4,2.7,2.2,1.8,1.3,0.7,0.3,3.6,2,14.8,0.87,6.4,0.78,-8,0.41,5815,10110,40,0,0
1.1,0.9,0.2,0.2,0.2,0.4,0.5,1.1,2.1,2.3,2.1,1.7,1.6,1.8,1.5,1.4,1.3,2.5,2.2,1.7,1.3,2,1.7,1.5,2.5,1.4,?,?,?,?,?,?,?,?,?,0,0
0.7,0.2,0.3,0.3,0,0,0.1,0.2,0.4,2.6,3.9,3.4,2.5,3.4,3.3,3.7,3.8,3.8,3.1,2.1,1.6,2.1,1.5,0.9,3.9,1.8,6.3,0.12,4.7,0.04,-15.5,0.05,5705,10165,-25,0,0
2.3,3.7,4.8,4.3,4.8,4.6,4.4,4.3,4.2,5.2,4.9,3.9,3.5,3.7,3.1,2.6,1.2,2,3.3,2.7,2.3,1.5,0.5,1.4,5.2,3.3,15.2,0.44,5.8,0.31,-12.8,0.11,5770,10120,-65,0,0
3.6,3.4,3.9,3.7,4.2,3.5,3.2,3.7,3.9,3.4,2.5,2.7,3.1,3.5,3.4,2,2.6,2.7,2.9,3.5,3,3.3,3.6,3.1,4.2,3.3,12.6,1,4.8,0.97,-11.2,0.78,5825,10215,5,5.69,0
0.4,0.3,0.3,0.6,0.6,0.7,0.7,0.5,0.9,1.8,2.5,2.5,3.3,3.7,4.2,4.2,4.4,4,3.3,2.9,2.3,1.7,2.1,1.8,4.4,2.1,4,0.53,0.9,0.11,-13.6,0.04,5770,10275,25,0,0
1,1.5,1.2,1.2,0.7,0.5,1.2,1.4,1.5,2.1,2.6,3.2,3.1,3.9,4.1,3.6,3.4,3,2.9,2.5,1.9,2,1.3,1.2,4.1,2.1,3.9,0.38,-1.95,0.21,-18.8,0.51,5585,10120,55,0,0
0.4,0.4,0.6,0.5,0.1,0.7,0.3,0.5,0.7,0.4,0.3,1.7,2.1,2.1,2.2,2.1,1.7,0.7,0.3,0.1,0.5,0.4,0.3,0.1,2.2,0.8,7.9,0.82,1.8,0.2,-13.2,0.33,5790,10245,-25,0,0
0.4,0.4,0,0.1,0.9,1.2,1,1.5,2.8,3.5,4.4,3.6,4.1,4.5,4.4,4.3,3.7,2.3,1,0.9,0.6,0.9,0.8,0.7,4.5,2,9.6,0.3,1.3,0.63,-13.9,0.24,5695,10130,-35,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9,0.01,2.5,0.07,-13,0.27,5785,10260,-35,0,0
0.1,0.1,0.4,0.6,0.4,0.1,0.1,0.2,0.6,1.4,1.5,2.6,3.4,3.8,4.2,4.2,3.4,3.3,2.3,2,1.3,1.2,0.8,0.9,4.2,1.6,8.8,0.04,0.2,0.03,-16.1,0.13,5745,10225,10,0,0
1.6,1.3,1.1,1.1,0.4,1,1.4,2.6,3.4,3.1,1.8,1.4,1.5,0.9,1.7,2,2.1,1.8,1.8,1.6,1.8,1.7,2.1,1.4,3.4,1.7,18.9,0.81,11.1,0.35,-5.1,0.43,5895,10105,-35,0,0
1.6,0.8,1.1,1.3,0.8,1,1,0.6,0.9,1.5,1.4,1.8,1.8,1.3,4.2,2.8,3.3,3,2.8,2.4,2.2,1.4,0.8,0.8,4.2,1.7,15,0.85,4.2,0.64,-15.9,0.34,5775,10140,-10,0.13,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17.1,0.83,8.6,0.82,-6.1,0.96,5850,10095,-15,7.24,0
1.8,1.6,2.2,2.6,2.5,2.4,2.8,1.6,2,2.3,2.4,3,2.3,2.6,2.3,2.8,2.9,2.8,3.8,3.4,2.1,2,1.7,1.7,3.8,2.4,13.3,0.7,4.5,0.78,-10.4,0.31,5810,10155,-10,2.95,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17.5,0.02,7.1,0.2,-9.2,0.02,5885,10195,0,0,0
0.1,0.2,0.8,0.3,0.2,0.6,0.4,1.1,3,3.2,3.4,3.6,1.6,2.2,2.2,1.4,1.5,1.1,0.1,0.9,1.1,1.5,1.3,1.3,3.6,1.4,8.9,0.63,-0.05,0.48,-17.5,0.21,5625,10080,5,0.03,0
0.2,0.4,0.6,0.5,0.7,0.7,0.3,1.2,1,1.5,1.7,2.1,2,2.3,2.1,2.5,3.5,3.2,2.5,2.1,1.8,1.3,1.2,0.9,3.5,1.5,14,0.29,8.7,0.02,-5.5,0.02,5860,10145,-20,0,1
0.1,0.5,1.1,0.8,0.9,0.4,0.7,1.2,2.4,2.9,3.3,3.5,2.8,3.2,3.4,3.3,2.9,1.5,0.7,0.3,0.1,0.3,0.3,0.7,3.5,1.6,16.2,0.26,11,0.04,-8.5,0.07,5885,10165,-35,0,0
1.7,1.3,1.2,1.2,1.3,1.6,1.3,2.8,3.8,3.4,3.3,3,3.2,3,3.6,3.8,3.6,4.2,3.8,3.1,3,2.9,3,2.9,4.2,2.7,15.8,0.22,7.4,0.16,-10.3,0.12,5820,10140,-45,0,0
1.7,1.3,1.5,1.3,1.3,1,1.1,1.2,1.1,3,3.1,3,3.1,2.8,3.4,2.9,3.7,3.1,2.8,2.2,1.6,1.3,1.6,1.7,3.7,2.1,15.8,0.7,10.3,0.2,-8,0.1,5875,10150,-25,0,0
0.4,0.3,0.8,1.8,1.5,1.4,1.7,1.5,1.7,1.7,1.4,1.1,3,1.9,0.6,1.4,2.3,2.1,3.3,4.4,4.6,3.8,3.9,3.9,4.6,2.1,11.3,0.26,3.6,0.31,-17.8,0.59,5735,10160,-5,0.03,0
?,?,?,?,?,?,1.5,1.2,1.7,2.4,1.9,2.1,2.5,3,2.6,2.5,2,1.8,1.4,1.5,1.7,1.4,1.4,?,3,1.9,13,0.71,9.4,0.37,-8.9,0.09,5855,10160,-30,0,0
2.8,2.7,2.6,2.5,2.3,1.2,1.9,3.4,3.5,3.9,4.1,3.8,3.5,3.7,3.8,4.1,4,4.4,4.2,3.9,3.6,3.1,2.8,2.7,4.4,3.3,17.9,0.66,8.7,0.61,-6.3,0.29,5920,10175,-10,0,0
1.7,1.5,1,1.1,0.8,1.2,1.3,3.2,2.8,2.8,2.7,2.7,2.5,2.3,2.8,2.8,3.7,4.3,3.7,2.7,3.1,2.5,1.7,1.3,4.3,2.3,18.5,0.84,10.1,0.29,-7.9,0.07,5845,10080,0,0,0
3,2.6,2.1,2.8,2.2,2,2,2.3,3.4,3.4,3.4,3.6,3.5,3.5,3.3,3.5,3.8,3.8,3.6,3.7,3.8,3.8,3.7,3.4,3.8,3.2,3.1,0.17,-1,0.59,-11.4,0.49,5700,10225,20,0,0
2.4,2,1.8,1.7,0.8,0.6,1.2,0.8,0.8,0.9,2.2,3,3.8,2.7,3,2,1.2,0.2,1.2,0.6,1.6,1.2,1.1,1.7,3.8,1.6,2.15,0.92,-2.4,0.35,-16.4,0.15,5715,10260,-80,0,0
0.1,0.4,0.3,0.6,0.8,1.1,1.6,2.1,2.8,3.5,3.6,3.3,2.2,2.5,3.2,2.9,2.7,2.7,3.8,3.5,3.4,3.6,3.5,2.8,3.8,2.4,17,0.65,9.3,0.28,-6.5,0.15,5885,10155,20,0,0
0.3,0.3,0.4,0.4,0.7,0.9,1.1,1.4,1,1.3,1.7,3,2,2.7,3,3.4,2.8,1.8,1,0.5,1.7,1.4,0.8,1.6,3.4,1.5,16.5,0.82,10.1,0.1,-8,0.1,5885,10140,15,0.3,0
3.3,2.8,2.4,2.4,2.5,2.9,2.5,0.9,0.5,0.8,0.6,1.8,2.4,2.5,2.5,2.9,3.4,5.8,5.3,4.7,4,4.1,4,3.9,5.8,2.9,11.5,0.96,5.9,0.09,-12.6,0.31,5840,10205,15,0,0
0.7,0.8,0.3,0.1,0.3,0.5,0.8,1.3,0.7,1.1,1.5,2.4,2.1,2.1,3.2,4.4,3.4,3.4,2.8,2,1.4,1.4,0.9,0.6,4.4,1.6,17.7,0.91,9.7,0.44,-4.3,0.18,5885,10105,0,0,0
1.7,0.9,1.6,1.9,2.4,2.8,3.8,4.8,5.4,5.4,4.5,3.6,3.3,3,4.2,4.2,3.8,2.9,2.6,2.1,2.1,1.8,2,1.8,5.4,3,12.1,0.86,4,0.14,-12.3,0.07,5795,10185,40,0,0
1.8,1,0.9,1.4,1.6,1.4,1.6,3.4,3.3,3,3.8,4.8,4.2,4,5,4.7,3.2,2.5,6.9,2.5,1.3,0.5,0.5,1.1,6.9,2.7,13.4,0.76,3.7,0.42,-12.3,0.38,5780,10140,0,3.94,0
1.8,1.7,1.9,1.6,1.2,1.7,1.2,0.9,1,1.3,1.7,2.1,3.3,4.2,4.8,6.4,4.9,4.6,4.7,2.7,2.8,3,1.3,1.2,6.4,2.6,14.8,0.95,5.5,0.6,-14,0.82,5715,10050,-55,0.05,0
1.7,1.9,1.7,1.4,1.5,1.4,1.7,1.7,2.2,2.3,2.2,4.2,4.2,4,4.6,4.1,3.8,3.3,3.1,3.1,3.1,2.9,3,2.5,4.6,2.7,15.1,0.53,6.3,0.62,-10.9,0.18,5855,10210,-10,0,0
0.2,0.5,0.3,0.6,0.7,1.2,0.6,1.3,2.5,3.4,4,3.3,2.9,2.1,1.7,1.1,1.7,1.2,1,0.7,0.7,0.3,0.1,0.1,4,1.3,11.9,0.02,5.6,0.03,-10.5,0.08,5855,10260,50,0,0
1.9,1,1.1,1.4,1.4,2.2,3.5,4,4.4,4.2,3.9,2.6,1.9,1.9,1.5,0.9,1.4,0.4,0.6,0.4,0.4,0.3,0.2,0.3,4.4,1.7,14.9,0.89,5.7,0.72,-9.6,0.09,5805,10120,-5,0,0
1.6,1.6,1.6,1.5,1.8,1.6,2,2.1,1.9,2.7,2.9,2.4,1.7,2.9,1.9,1.5,2,2,2.2,1.3,1,0.9,0.7,0.6,2.9,1.8,19.3,0.66,10.1,0.54,-5.9,0.37,5895,10115,-15,0.64,0
1.4,0.7,0.5,0.6,0.3,0.2,0.5,0.4,0.8,1.4,3.4,3,2.4,2.7,3.3,3,2.7,2.7,2.5,2.1,1.4,1,0.6,0.2,3.4,1.6,18.1,0.76,9.1,0.64,-7.4,0.82,5895,10155,5,0,0
6.2,6.8,5.4,5.3,6,4.8,5.1,4.3,4.4,5.2,4.9,5.2,5.4,5,5.3,4.7,4.4,3.2,1.1,0.5,0.3,0,0.3,0.2,6.8,3.9,9.5,0.22,0.05,0.27,-19,0.21,5605,10070,45,0,0
0.3,1.9,2.5,2,1.4,2.1,2,1.7,3.2,4.2,4.3,5.1,5,5.1,5.4,5.5,5.2,3.8,3.3,2.2,2.5,2.6,2.1,2.8,5.5,3.2,5.2,0.48,1.05,0.22,-16.3,0.17,5695,10200,40,0,0
1.1,1.8,2.3,2.1,2.2,2.6,2.7,3.4,3.4,4.2,5,5.5,6.2,5.8,5.8,4.9,3.1,3.1,3.5,3.8,3.9,3.7,3.7,4.1,6.2,3.7,17.1,0.7,6.3,0.73,-12.2,0.43,5770,10085,-30,0.08,0
3.1,3.4,1.7,0.7,1.8,1.3,1.4,0.8,2.1,3.1,3.4,3.5,3.8,3.7,3.7,3.2,3.4,2.3,2,1.4,1.8,2.5,1.6,1.6,3.8,2.4,8.5,0.17,-0.05,0.16,-11.6,0.21,5745,10195,?,0,0
4,3.4,4.2,4.7,4.2,4.6,5.3,4.4,4,4.7,3.6,3.6,3.8,3.8,3.7,4.6,4.7,4.4,5.2,5.9,5.3,4.6,4.3,4.2,5.9,4.4,11.6,0.88,3.6,0.53,-15,0.31,5795,10200,45,0,0
0.4,0.4,0.1,0.1,0,0.4,0.5,0.6,1.3,2,1.9,1.2,1.1,1.7,1.8,1.7,2.4,2.8,2.2,1.3,1,0.7,0.3,0.1,2.8,1.1,16.1,0.73,9.3,0.06,-8.6,0.07,5900,10185,35,0,1
0.5,0.4,0.4,0.3,0.8,0.6,1,1.5,1.5,1.5,1.3,1.3,1.1,2.1,1.7,1.9,1.4,0.4,0.3,0,0.3,0.1,0.3,0.2,2.1,0.9,4.8,0.24,-2.9,0.17,-12.8,0.04,5725,10265,30,0,0
0.7,0.5,0.8,0.8,0.5,1,0.8,0.8,1.7,1.7,1.7,1.3,0.6,1,1.3,1.4,1.6,1.3,1.2,0.6,0.1,0.1,0,0.1,1.7,0.9,10,0.01,3.8,0.05,-15.3,0.04,5775,10240,85,0,0
2.8,2.6,3.2,3.8,3.1,2.3,2,1,1.7,3,2.7,2.8,2.8,3.3,3.7,3.4,1.9,1.8,1.6,?,0.4,0.4,0.2,0.2,3.8,2.2,12.5,0.88,4.2,0.5,-12.3,0.45,5725,10095,-70,0,0
3.8,3.1,3.5,3.5,2.7,2.7,2.3,2.9,3,3.4,4.1,4.2,4.8,5.1,5.5,4.7,4.5,3.7,2.5,2.5,2.1,2.7,2.1,1.7,5.5,3.4,11.2,0.55,2.1,0.85,-14.2,0.49,5760,10210,-70,0,0
1.4,1.2,0.9,0.4,0.1,0.2,0.2,2,2.9,3.4,3,2.7,2.5,1.6,1.8,2,2,2.2,1.7,2.5,2.9,2.9,3,2.6,3.4,1.9,19.9,0.51,8.1,0.79,-6.9,0.35,5915,10170,0,0,0
1.9,1.2,0.8,1.1,1,1.1,1,1.1,1.1,2.2,3.1,2,1.6,1.8,1.5,1,1.7,1.7,1.7,1.2,1.3,1.4,0.3,0.1,3.1,1.4,13.4,0.87,5.9,0.5,-13.4,0.62,5800,10150,-20,0,0
0.8,0.3,0.2,0.4,0.3,1.4,0.9,1.5,1.9,2.6,2.5,2.7,2.8,2.9,3.3,3.1,3.1,3,2.2,3.6,3,3.3,2.3,2.3,3.6,2.1,12.8,0.45,4.7,0.17,-11.3,0.11,5795,10150,25,0,0
0.3,0.1,0.4,0.1,0.3,0.4,0.1,0.1,0.7,2.6,4.4,4.8,5.2,5.2,4.3,4,4.6,5,4,3.2,3.2,2.8,2.5,2.1,5.2,2.5,9.1,0.34,3,0.05,-14.4,0.06,5770,10195,-5,0,0
4.2,5.1,5.1,5.1,5.5,5,5.4,5.6,5.3,5.5,5.7,5.9,5.4,5.5,5.3,5.4,4.7,3,1.3,0.6,0.6,0.2,0.4,0.2,5.9,4,8.8,0.86,0.65,0.54,-17.8,0.36,5660,10115,-40,0,0
2.8,3,2.5,2.2,2,1.9,1.7,2.8,3.5,3.6,3.2,3.8,3.4,3.2,3.1,3.1,3.1,3.6,3.6,2.7,2.9,2.3,1.2,1.2,3.8,2.8,17.7,0.66,9.3,0.43,-6.4,0.2,5915,10170,-5,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,16.1,0.7,7.8,0.61,-6.1,0.75,5900,10175,20,3.12,0
1.7,1.1,0.7,1.6,1,1,0.8,0.9,1.4,3.3,1.9,1.8,2.7,2.9,1.4,1.9,2.1,2.1,1.4,0.2,0.4,0.4,1.4,1.8,3.3,1.5,11.8,0.54,1.55,0.6,-14.6,0.45,5715,10110,-40,0,0
2.5,2.5,2.2,2.8,2.4,2.5,2.4,2.1,3.1,3.5,4.4,3.4,4.4,4.7,4.5,3.9,4.4,3.9,3.2,3.3,3.9,3.7,4.3,4.3,4.7,3.4,15.1,0.65,9.3,0.27,-11,0.15,5860,10160,20,0,0
0.1,0.2,0.4,0.3,0.4,0.7,0.7,1,1.2,0.6,1.8,2.7,2.8,3,2.8,3.1,3,3.4,3,1.8,1,0.6,0.1,0.3,3.4,1.5,9.6,0.64,3.7,0.06,-12.6,0.06,5795,10215,-10,0,0
0.9,0.6,0.7,1.1,1.1,0.3,0.8,2.1,2,1.9,1,1.8,2.2,2.4,2.3,1.7,1.9,3.6,3.6,3,2.6,2,1.4,1.3,3.6,1.8,15.9,0.57,5.3,0.33,-9.6,0.08,5825,10135,-10,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7,0.51,3.2,0.04,-11.4,0.02,5800,10245,-30,0.15,0
3.4,3.3,3.2,3.2,2.5,2.3,2.7,3.2,3.2,2.3,2.6,3.7,3.8,3.5,3.4,3.5,3.8,4.3,3.8,2.8,3.2,2.9,2.9,2.5,4.3,3.2,17.5,0.65,9.8,0.28,-6.4,0.25,5875,10130,-20,0,0
0.8,1.1,1.3,1.2,1.4,1.3,1.2,2.5,3.1,2.7,2.5,2.2,2.7,2.7,4.4,4.8,4.2,4,3.7,2.8,3.1,2.8,2.8,3,4.8,2.6,18.1,0.68,8.7,0.61,-7.8,0.57,5920,10185,?,0.61,0
3.8,3.1,4,3.4,3.5,4,4.8,4.4,6.3,7,6.8,6,6.8,6.7,5.9,6.3,5.3,3.8,3.1,3,2.1,1.8,1.2,1.1,7,4.3,15.1,0.42,5,0.65,-11.6,0.35,5700,10040,-70,0,0
0.4,0.6,0.8,1.3,1.2,1.3,1.2,1.4,2,2.1,2.1,2.1,2.2,2.9,3.3,2.8,2.8,2.9,2.1,2.1,2.2,2.1,1.5,1.8,3.3,1.9,12.7,0.07,3.2,0.1,-12.6,0.04,5820,10250,15,0,0
4.6,4,5.8,4.2,4.6,2.5,1.5,1.5,2.2,2.8,1.6,2.8,2,4.9,4.8,5.3,5.4,4.6,1.9,1.1,0.6,1.1,1.3,1.7,5.8,3,16.5,0.99,7.4,0.81,-9.2,0.25,5765,10035,-75,3.99,0
1.7,1.9,2.3,2,1.6,1.4,1.4,2.8,3.5,3.6,4,3.7,3.5,4.4,6.7,4.1,3.4,2.8,2.8,2.2,0.4,0.7,0.4,0.5,6.7,2.6,19.4,0.6,9,0.4,-6.7,0.4,5920,10165,15,0,0
1.9,1.5,1.3,1.2,0.8,1.1,1.3,3,3.8,2.8,2.7,2.5,3.4,3.7,3.6,4,4,3.9,3.4,3.6,3.3,3,2.7,1.7,4,2.7,18.3,0.56,5.8,0.57,-10.6,0.96,5830,10135,-25,0,0
2.6,2.1,1.6,1.4,0.9,1.5,1.2,1.4,1.3,1.4,2.2,2,3,3,3.1,3.1,2.7,3,2.4,2.8,2.5,2.5,3.7,3.4,3.7,2.3,?,?,?,?,?,?,?,?,?,0.58,0
0.3,0.4,0.3,1.1,0.9,1.1,0.2,1.3,2,2.8,3.8,4.3,4.1,3.5,3.4,4,3.9,3.4,2.9,3.3,4,3.5,2.1,2.1,4.3,2.4,7.7,0.07,2.1,0.09,-15.9,0.22,5730,10215,25,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0
0.3,0.1,2.1,3.8,2.9,0.8,1.4,3.7,4.2,4.8,4.1,4.3,4.8,4.4,5.1,4.9,4.2,4.2,2.8,1.4,1.4,1.4,1.3,0.9,5.1,2.9,7.8,0.62,0.65,0.41,-15.6,0.54,5735,10190,10,0,0
3.7,4.2,3.1,2.6,2.3,2.3,1.7,1,1.3,1.9,2.3,2.6,3.4,3.4,3.1,2.9,1.8,0.2,0.4,0.9,0.4,0.6,0.5,1.1,4.2,2,10.9,0.96,3.5,0.55,-13.3,0.39,5740,10140,-50,0.43,0
1.2,1.5,1.2,0.8,0.6,0.8,1.6,0.4,2.7,2.2,2.6,1,1.6,0.3,0.7,0.4,1,1.1,1.1,1.2,1,0.8,1.3,0.7,2.7,1.2,16,0.45,6.5,0.7,-11,0.39,5795,10110,-25,0.46,0
0.1,0.4,1.2,1.5,1.3,0.5,1.1,0.9,0.9,0.9,2.2,2.5,3.3,2.7,2.3,2.5,2.4,2.6,1.4,1,1.2,0.1,1.1,1.7,3.3,1.5,11.3,0.71,2.6,0.55,-14.6,0.06,5700,10095,-55,0,0
1.3,1.2,1.5,1.1,1,1.4,1.9,2.1,2.3,2.8,3,3.2,3.4,3.3,3.7,2.7,3.9,2.7,2.1,0.9,1.7,1.2,1.5,2.1,3.9,2.2,15.8,0.82,9.2,0.08,-7.3,0.35,5885,10155,-15,0,0
1.3,0.4,0.7,0.9,0.8,1.1,0.4,0.9,1.5,1.9,1.6,2.7,3,1.5,1.2,1.4,1.8,2.5,2.1,1.8,1.5,1.3,1.4,0.6,3,1.4,18.1,0.8,8.8,0.76,-8.7,0.56,5890,10145,-5,0.18,0
1.9,3.8,3.1,2.3,2.3,4.3,2.7,3.6,4.7,3.8,3.1,3.8,1.8,2.2,2.1,2.1,3.3,2.8,3.4,4.2,2.7,3.1,3.1,2.9,4.7,3.1,13.8,0.58,4,0.65,-12.8,0.19,5725,10090,-20,1.78,0
1.1,0.4,0.4,0.4,0.2,0.5,0.6,0.9,1.2,1.2,1.6,1.7,1.3,1.2,3,3.4,3.1,2.8,2.1,1.8,1.7,0.8,1.1,0.5,3.4,1.4,15.5,0.3,8,0.23,-6.8,0.02,5855,10135,-10,0,0
1.7,1.5,1.8,1.7,1.4,1,0.8,3.2,3.8,3.5,3.9,3.8,3.6,3.9,3.4,4.5,4.9,4.4,3.9,3.6,4.1,3.5,3,2.5,4.9,3.1,21,0.16,11.4,0.32,-7.2,0.46,5885,10110,-25,0,0
1.5,1.3,1.6,1.4,1.5,1.3,1.1,1.1,1.3,2.1,1,1.5,2.8,2.4,2.3,2,2.1,1.3,1.3,0.9,0.4,0.7,0.4,0.5,2.8,1.4,12.6,0.25,4.6,0.5,-11.5,0.24,5840,10230,35,0,0
2.4,1.7,1.2,1.4,1.9,1.5,2.1,1.7,5.5,3.6,5.5,2.4,2.1,2.3,3,0.8,1.7,1.7,1,0.6,0.4,1,0.5,0.3,5.5,1.9,16.5,0.64,5.9,0.54,-13.7,0.65,5775,10105,0,5.89,0
2.2,1.7,1.6,1.5,1.4,1.3,1.7,2.1,1.8,1.7,1.7,1.8,2.8,2.1,1.7,1.9,2.1,1.9,1.7,1.9,1.9,1.8,1.6,1.9,2.8,1.8,14.3,0.43,9.4,0.23,-8,0.25,5885,10200,35,0,0
0.1,0,0.1,0.1,0.4,0.7,1.8,2.1,2.3,3,1.2,1.8,2.1,2.5,3.6,3.7,4,3.5,2.3,1.6,1.7,1.3,0.4,0.1,4,1.7,16.8,0.78,6.8,0.63,-8.7,0.48,5855,10140,-25,0.03,0
2.8,2.3,2.2,2.2,2.1,1.8,1.8,2.2,2.5,3.4,4.1,3.9,4.3,4.5,4.5,4,4.1,3.3,0.5,5.6,5.5,4.5,4.3,4.6,5.6,3.4,13.9,0.75,7.7,0.24,-7.1,0.15,5825,10120,-25,1.04,0
1.7,1.8,1.8,1.7,1.9,2.1,2.7,3.1,3.8,3.5,3.4,3.4,3.3,3.8,4.2,4.2,5,5.1,4.7,3.3,2.4,2,1.4,1.6,5.1,3,19.2,0.35,14.2,0.25,-4.9,0.7,5910,10125,-20,0,0
4.1,4.6,3.9,2.8,2.7,2.5,2.2,2.3,2.2,3.1,4.2,5.6,6,6.4,6.9,7,6.4,6.5,6.2,5,5.4,5,5,3.8,7,4.6,10.7,0.79,3.9,0.26,-13.6,0.18,5775,10170,-40,0.03,0
1.3,0.6,0.2,0.3,0.3,0.1,0.4,0.4,0.8,1.4,3.1,4.7,4.7,4.6,4.7,4.8,4.2,4,3.4,2.7,2.3,2.4,2,3,4.8,2.4,16.9,0.09,7.3,0.08,-12.3,0.05,5900,10270,10,0,0
0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.4,1.6,2.5,3.1,2.8,2.3,2.1,1.8,1.6,1.4,1.6,1,0.3,0.2,0.1,0.1,3.1,1.1,10.4,0.35,4.4,0.08,-13.2,0.04,5815,10205,0,0,0
0.1,0.3,0.1,0.1,0.1,0.8,0.8,1.7,1.6,2.1,2.1,2,1.9,3.5,2.6,2.7,1.6,2.5,0.9,1.5,1.4,1.1,0.4,0.1,3.5,1.3,17.2,0.79,7.2,0.75,-7.3,0.92,5915,10190,0,4.11,0
2.5,1.9,1.9,1.2,1,1.2,1.6,2.4,3.3,3.4,3.8,4.2,4.9,4.4,4.6,4,2.8,3.3,2.7,4.8,4,3.1,3.8,4.6,4.9,3.1,16.7,0.62,9.2,0.07,-7.9,0.04,5885,10170,35,17.45,0
2.3,1.8,1.9,2,1.3,1.2,1.5,1.4,1.9,1.8,3.1,4.6,4.5,4.7,5,4.2,1.2,4.6,3.9,4.9,4.9,4.1,3.6,3.4,5,3.1,10.7,0.74,4.6,0.39,-10.7,0.32,5800,10180,-40,1.32,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.3,0.43,1.8,0.87,-11.3,0.03,5780,10175,-75,1.68,0
2.5,2.6,2.3,2.2,2.1,1.8,2.1,2.2,2,2.4,2.4,2.6,2.2,1.9,2,2,2.3,1.9,1.5,1.4,0.9,1.3,2.9,3.5,3.5,2.1,12.1,0.73,4.8,0.33,-9.5,0.1,5845,10220,10,0,0
0.9,0.8,1,0.8,1.1,1.2,1.5,2.9,3.4,3.1,3.1,3,3.1,3.6,3.6,3.4,3.7,3.7,3,2.3,2.1,1.4,0.9,0.4,3.7,2.3,18.7,0.45,8.6,0.32,-7.1,0.78,5895,10160,15,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.6,0.24,-3.9,0.74,-19.2,0.76,5630,10155,35,0,0
3.4,3.8,3.5,3.8,3.8,4.3,3.9,4.9,2.2,2.5,3.9,4.7,5,4.9,4.6,5.1,5,4.9,4.2,3.7,3.8,3.1,2.8,1.3,5.1,3.9,18.8,0.56,12.1,0.31,-9,0.48,5860,10100,-5,0,0
0,0.4,0.8,0.8,1,0.8,0.8,2,1.6,1,0.9,0.7,1.9,2.7,0.3,1.8,1.5,2,1.3,1.7,1.2,1.6,1,1.2,2.7,1.2,?,?,?,?,?,?,?,?,?,0.48,0
2.6,2.4,2.3,0.6,0.8,1.2,1.3,1.7,2.8,4.4,4,4.1,4,4.4,4.3,5,5.2,5.1,4.6,4.2,3.1,2.3,2.8,2.9,5.2,3.2,?,?,?,?,?,?,?,?,?,0,0
0.5,0.1,0.1,0.3,0.1,0.3,0.4,1.1,1,1.4,1.1,1.2,0.8,1.4,1.7,3.8,3.5,2.9,1.9,1.7,1.2,1.3,1.5,0.5,3.8,1.2,18.6,0.77,10,0.51,-7,0.48,5915,10150,0,1.04,0
2,2.3,2.6,3.4,3.4,2.7,2.7,2.7,2.7,3.2,3,3.6,3.2,2.6,2.7,2.7,3,2.6,2.5,2.3,2.7,2.8,1.9,1.6,3.6,2.7,13.6,0.81,2.9,0.87,-11.7,0.91,5815,10170,15,0.08,0
2.2,2,2,1.4,1.4,1.2,1.2,2.4,3,2.5,2,1.8,2,3.7,4.1,3.7,3.8,4.1,3.9,4.2,3.6,2.7,2.1,1.6,4.2,2.6,17.8,0.77,7.9,0.77,-6.9,0.58,5885,10150,0,0.15,0
1.4,1,1.3,2,2.7,2.5,1.5,2.3,3.3,3.8,3.5,2.4,2.6,2,2.1,3.3,4.1,3.8,2.6,2.8,2.5,2.2,2.2,1.6,4.1,2.5,7.5,0.46,-1.5,0.75,-15.5,0.18,5700,10200,25,0,0
