Age,Community_Building,Community_Membership_Family,Community_Membership_Hobbies,Community_Membership_None,Community_Membership_Other,Community_Membership_Political,Community_Membership_Professional,Community_Membership_Religious,Community_Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not_Impaired,Disability_Not_Say,Disability_Vision,Education_Attainment,Falsification_of_Information,Gender,Household_Income,How_You_Heard_About_Survey_Banner,How_You_Heard_About_Survey_Friend,How_You_Heard_About_Survey_Mailing_List,How_You_Heard_About_Survey_Others,How_You_Heard_About_Survey_Printed_Media,How_You_Heard_About_Survey_Remebered,How_You_Heard_About_Survey_Search_Engine,How_You_Heard_About_Survey_Usenet_News,How_You_Heard_About_Survey_WWW_Page,Major_Geographical_Location,Major_Occupation,Marital_Status,Most_Import_Issue_Facing_the_Internet,Opinions_on_Censorship,Primary_Computing_Platform,Primary_Language,Primary_Place_of_WWW_Access,Race,Not_Purchasing_Bad_experience,Not_Purchasing_Bad_press,Not_Purchasing_Cant_find,Not_Purchasing_Company_policy,Not_Purchasing_Easier_locally,Not_Purchasing_Enough_info,Not_Purchasing_Judge_quality,Not_Purchasing_Never_tried,Not_Purchasing_No_credit,Not_Purchasing_Not_applicable,Not_Purchasing_Not_option,Not_Purchasing_Other,Not_Purchasing_Prefer_people,Not_Purchasing_Privacy,Not_Purchasing_Receipt,Not_Purchasing_Security,Not_Purchasing_Too_complicated,Not_Purchasing_Uncomfortable,Not_Purchasing_Unfamiliar_vendor,Registered_to_Vote,Sexual_Preference,Web_Ordering,Web_Page_Creation,Who_Pays_for_Access_Dont_Know,Who_Pays_for_Access_Other,Who_Pays_for_Access_Parents,Who_Pays_for_Access_School,Who_Pays_for_Access_Self,Who_Pays_for_Access_Work,Willingness_to_Pay_Fees,Years_on_Internet,label
28,More,1,1,0,0,0,0,0,0,Georgia,0,0,0,1,0,0,College,Under_25,Male,$50-74,0,1,0,0,0,0,0,0,0,USA,Computer,Other,Censorship,1,Win95,English,Primarily_home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,Over_7_yr,37
17,Dont_Know,0,1,0,0,0,0,0,0,Michigan,0,0,0,1,0,0,High_School,NA,Female,Not_Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,3,,English,Primarily_home,White,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,No,Heterosexual,No,No,0,0,1,0,0,0,Already_paying,Under_6_mo,24
33,Dont_Know,0,1,0,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,High_School,Never,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Other,Single,Privacy,1,,English,Home,White,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Other_sources,Under_6_mo,34
43,Dont_Know,1,0,0,0,0,0,0,0,Washington,0,0,1,0,0,0,Special,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Other,Married,Censorship,2,Win95,English,Home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Dont_trust,1-3_yr,39
27,Dont_Know,1,0,0,0,0,1,0,0,Texas,0,0,0,1,0,0,College,NA,Female,$20-29,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,3,Windows,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,0,1,Other_sources,1-3_yr,34
Not_Say,More,1,1,0,0,0,1,1,0,Indiana,0,0,0,1,0,0,Masters,Over_75,Female,$10-19,0,0,0,0,0,1,0,0,0,USA,Management,Single,Navigation,3,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,1-3_yr,7
39,More,0,0,0,0,0,1,0,0,California,0,0,0,1,0,0,Some_College,Never,Female,$30-39,0,0,0,0,0,0,0,0,1,USA,Management,Other,Privacy,1,Win95,English,Home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not_Applicable,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,Over_7_yr,27
26,Less,0,0,0,0,0,1,0,0,North_Carolina,0,0,0,1,0,0,Masters,Under_25,Male,Not_Say,0,1,0,0,0,0,0,0,0,USA,Computer,Not_Say,Culture,1,Win95,Chinese,School,Not_Say,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,No,Not_say,Yes,Yes,0,0,0,0,0,1,Other_sources,1-3_yr,37
30,Dont_Know,1,0,0,0,0,0,0,0,Virginia,0,0,0,1,0,0,College,Never,Female,$40-49,0,0,0,1,0,0,0,0,0,USA,Computer,Married,Encryption,3,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,1,Other_sources,1-3_yr,34
53,Dont_Know,0,0,1,0,0,0,0,0,Tennessee,0,0,0,1,0,0,Masters,Never,Female,$30-39,1,0,0,0,0,0,0,0,0,USA,Education,Single,Privacy,1,,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Lesbian,No,No,0,0,0,0,1,0,Other,6-12_mo,34
48,Less,0,0,1,0,0,0,0,0,Puerto_Rico,0,0,0,1,0,0,Masters,NA,Female,$40-49,0,0,0,0,0,0,1,0,1,West_Indies,Professional,Divorced,Other,3,Win95,Spanish,Home,White,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,14
30,More,0,1,0,0,0,0,0,0,Florida,0,0,0,1,0,0,High_School,Never,Male,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Single,Taxes,1,,English,Home,White,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,34
43,More,0,1,0,0,1,1,0,1,Germany,0,0,0,1,0,0,Masters,Not_Say,Male,$20-29,0,0,0,0,0,0,0,0,1,Europe,Computer,Divorced,Privacy,1,Win95,German,Work,White,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Payment_mechanism,6-12_mo,31
47,More,0,1,0,0,0,0,1,0,North_Carolina,0,0,0,1,0,0,College,Never,Male,$40-49,0,0,0,0,0,0,0,0,1,USA,Management,Married,Privacy,4,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,1,Already_paying,4-6_yr,41
38,More,0,0,0,1,0,0,0,0,California,0,0,0,1,0,0,Some_College,Under_25,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Taxes,1,Macintosh,English,Primarily_home,White,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,Yes,Bisexual,Yes,No,0,0,0,0,1,1,Other_sources,1-3_yr,1
27,More,1,1,0,0,0,0,0,1,Kentucky,0,0,0,1,0,0,College,Never,Male,$10-19,0,0,0,0,0,0,0,0,1,USA,Professional,Separated,Privacy,1,Win95,English,Primarily_home,White,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,4-6_yr,43
33,Dont_Know,0,0,1,0,0,0,0,0,Georgia,0,0,0,1,0,0,Masters,Never,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Privacy,2,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,33
39,More,0,1,0,0,0,0,0,0,Georgia,0,0,0,1,0,0,College,Under_25,Male,$75-99,0,0,0,0,0,1,0,0,0,USA,Computer,Married,Privacy,4,Macintosh,English,Primarily_home,White,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1,Other_sources,4-6_yr,30
17,Dont_Know,0,0,1,0,0,0,0,0,Oklahoma,0,0,0,1,0,0,Grammar,Never,Female,Not_Say,0,0,0,0,0,0,1,0,0,USA,Education,Single,Privacy,1,Windows,English,School,Other,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not_Applicable,Heterosexual,Yes,Yes,0,0,0,1,0,0,Already_paying,Under_6_mo,24
27,Less,1,0,0,0,0,1,0,0,California,0,0,0,1,0,0,Some_College,Never,Male,$50-74,0,0,0,0,0,0,1,0,0,USA,Computer,Single,Privacy,1,Win95,English,Primarily_work,White,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Yes,Bisexual,Yes,Yes,0,0,0,0,1,0,Poor_quality,Over_7_yr,30
28,More,0,1,0,0,0,1,0,0,Texas,0,0,0,1,0,0,Some_College,Under_25,Female,Not_Say,0,0,1,0,0,0,0,0,0,USA,Computer,Other,Censorship,2,Macintosh,English,Primarily_home,White,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,1,Already_paying,1-3_yr,34
48,More,0,1,0,0,0,0,1,1,Indiana,0,0,0,1,0,0,High_School,Never,Male,$40-49,0,0,0,0,0,0,1,1,1,USA,Professional,Divorced,Navigation,2,,English,Home,White,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Dont_trust,Under_6_mo,34
65,Dont_Know,0,0,1,0,0,0,0,0,North_Carolina,0,0,0,1,0,0,College,Never,Male,$30-39,0,0,0,0,0,0,1,0,0,USA,Other,Divorced,Privacy,4,Win95,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,Under_6_mo,39
Not_Say,Dont_Know,0,0,0,0,0,1,0,0,New_Jersey,0,0,0,1,0,0,College,Over_75,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Privacy,1,Win95,English,Distributed,Not_Say,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,Yes,Not_say,Yes,Yes,0,0,0,0,1,1,Other_sources,4-6_yr,17
29,Equally,1,0,0,0,0,0,0,0,California,0,0,0,1,0,0,Some_College,Never,Male,$50-74,0,0,0,0,0,0,1,0,0,USA,Education,Other,Privacy,2,Win95,English,Home,Other,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,No,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,6-12_mo,13
52,Dont_Know,0,0,1,0,0,0,0,0,Ontario,0,0,0,1,0,0,College,Never,Female,$30-39,0,0,0,0,0,0,1,0,0,Canada,Computer,Divorced,Privacy,1,Win95,English,Work,White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1,Already_paying,1-3_yr,34
34,Less,0,1,0,0,0,0,0,0,Texas,0,0,0,1,0,0,Some_College,Under_25,Male,$10-19,0,0,0,0,0,0,0,0,1,USA,Management,Single,Taxes,1,,English,Home,White,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,6-12_mo,34
28,Dont_Know,0,0,1,0,0,0,0,0,Minnesota,0,0,0,1,0,0,Masters,Under_25,Female,$75-99,0,0,0,0,0,1,0,0,0,USA,Professional,Single,Privacy,4,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1,Other,4-6_yr,2
22,Equally,0,0,0,1,0,0,0,0,California,0,0,0,1,0,0,Special,26-50,Male,$30-39,1,0,0,0,0,0,0,0,0,USA,Education,Single,Encryption,1,Macintosh,English,Primarily_home,Not_Say,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Not_say,Yes,No,0,0,0,0,1,0,Other_sources,4-6_yr,13
41,More,0,1,0,0,0,0,0,0,Oregon,1,0,0,0,0,0,Some_College,Never,Male,$20-29,0,0,0,1,0,0,0,0,0,USA,Other,Married,Taxes,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,1-3_yr,34
40,Dont_Know,0,0,0,1,0,0,0,0,Ontario,0,0,0,1,0,0,Some_College,Never,Female,$40-49,0,1,0,0,0,0,0,0,0,Canada,Management,Single,Navigation,4,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,4-6_yr,7
34,Dont_Know,0,1,0,0,0,0,0,0,British_Columbia,0,0,0,1,0,0,Some_College,Under_25,Female,$20-29,0,0,0,0,0,0,0,0,1,Canada,Management,Other,Censorship,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other,4-6_yr,34
42,More,0,1,0,0,0,0,0,0,California,0,0,0,1,0,0,Some_College,Never,Male,Over_$100,0,0,1,0,0,0,0,0,0,USA,Management,Married,Censorship,1,,English,Primarily_home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,1-3_yr,7
Not_Say,More,1,0,0,0,0,1,0,0,Texas,0,0,0,1,0,0,College,26-50,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Computer,Not_Say,Privacy,1,Unix,English,Primarily_work,Not_Say,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,Yes,Not_say,Yes,Yes,0,0,0,0,1,1,Poor_quality,Over_7_yr,37
56,Equally,0,0,1,0,0,0,0,0,Texas,0,0,0,1,0,0,Masters,Never,Female,Not_Say,0,0,0,0,1,0,0,0,0,USA,Professional,Divorced,Privacy,4,Macintosh,English,Primarily_work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,1-3_yr,33
29,More,0,1,0,0,1,0,1,0,Florida,0,0,0,1,0,0,College,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Privacy,1,,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,6-12_mo,40
59,More,0,1,0,0,0,1,0,0,Newfoundland,0,0,0,1,0,0,Masters,Never,Female,Over_$100,0,0,0,0,0,0,0,0,1,Canada,Education,Single,Encryption,1,Win95,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Yes_regardless,4-6_yr,24
38,Dont_Know,0,0,0,0,0,1,0,0,New_York,0,0,0,1,0,0,Some_College,Never,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Other,Married,Privacy,1,Macintosh,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Dont_trust,6-12_mo,35
58,More,1,1,0,0,0,0,0,0,California,0,0,0,1,0,0,Some_College,Never,Female,$50-74,1,0,0,0,0,0,0,0,0,USA,Management,Married,Censorship,1,,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Other_sources,Under_6_mo,41
33,Less,0,0,1,0,0,0,0,0,California,0,0,0,1,0,0,Masters,26-50,Male,Over_$100,0,0,1,0,0,0,0,0,0,USA,Professional,Married,Privacy,1,Macintosh,English,Primarily_work,White,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other_sources,4-6_yr,28
35,Dont_Know,0,0,0,1,0,0,0,0,Massachusetts,0,0,0,1,0,0,Professional,Never,Female,Not_Say,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Navigation,2,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,1,0,0,Other_sources,1-3_yr,5
30,Dont_Know,0,0,1,0,0,0,0,0,Taiwan,0,0,0,1,0,0,Masters,Never,Male,$30-39,0,0,0,0,0,0,0,0,1,Asia,Computer,Married,Privacy,1,Windows,English,Primarily_work,White,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,Not_Applicable,Not_say,Yes,Yes,0,0,0,0,1,1,Poor_quality,4-6_yr,34
26,Equally,1,0,0,0,0,0,0,0,Nebraska,0,0,0,1,0,0,Some_College,Under_25,Male,$10-19,0,0,0,0,0,0,1,0,0,USA,Education,Divorced,Censorship,1,Win95,English,School,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No,Heterosexual,Yes,No,0,0,0,1,0,0,Cost_too_high,1-3_yr,13
42,More,0,0,0,1,0,0,0,0,California,0,0,0,1,0,0,Some_College,Never,Male,$75-99,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Censorship,1,,English,Home,White,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,40
34,More,1,0,0,0,0,1,0,0,Hungary,0,0,0,1,0,0,College,Under_25,Male,Not_Say,0,0,0,0,1,0,0,0,0,Europe,Management,Single,Other,2,Macintosh,English,Primarily_work,White,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,No,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other_sources,4-6_yr,27
Not_Say,Equally,0,0,0,0,0,1,0,0,Texas,0,0,0,1,0,0,College,Never,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Navigation,3,Win95,English,Home,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,1,Other_sources,1-3_yr,34
23,More,0,1,0,0,0,1,1,0,Wisconsin,0,0,0,1,0,0,Some_College,Never,Female,$50-74,0,0,0,0,0,0,1,0,1,USA,Professional,Separated,Censorship,1,Win95,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Dont_trust,6-12_mo,33
36,Dont_Know,0,0,1,0,0,0,0,0,Ohio,0,0,0,1,0,0,Special,Under_25,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Computer,Single,Privacy,2,Win95,English,Primarily_home,White,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,No,Heterosexual,Yes,No,0,0,0,0,1,0,Other,6-12_mo,30
20,More,1,1,0,0,1,1,0,0,Washington,0,0,0,1,0,0,Some_College,51-75,Male,Not_Say,0,0,0,0,0,1,0,0,0,USA,Education,Single,Taxes,1,Macintosh,English,Primarily_home,White,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,1-3_yr,13
43,Dont_Know,0,0,1,0,0,0,0,0,Nevada,0,0,0,1,0,0,Some_College,NA,Male,Not_Say,0,0,0,0,0,0,0,1,0,USA,Other,Single,Privacy,1,,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,42
42,Equally,0,0,1,0,0,0,0,0,California,0,0,0,1,0,0,College,Never,Male,$30-39,1,0,0,0,0,0,0,0,1,USA,Computer,Single,Dont_Know,4,,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Not_Applicable,Gay_male,Yes,No,0,0,0,0,1,0,Already_paying,6-12_mo,34
29,Equally,0,0,0,0,0,1,0,0,Germany,0,0,0,1,0,0,Masters,51-75,Male,Not_Say,0,0,1,0,0,1,0,0,0,Europe,Professional,Single,Privacy,1,Macintosh,German,Work,Other,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not_Applicable,Not_say,Yes,Yes,0,0,0,0,1,1,Poor_quality,1-3_yr,14
60,Equally,1,1,0,0,0,0,0,1,South_Carolina,0,0,0,1,0,0,College,Never,Female,Not_Say,0,0,0,0,0,0,0,1,1,USA,Other,Widowed,Navigation,4,,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,6-12_mo,39
20,Equally,0,1,0,0,0,0,0,1,Georgia,0,0,0,1,0,0,Some_College,26-50,Female,$10-19,0,1,0,0,0,0,0,0,0,USA,Education,Single,Privacy,3,Windows,English,School,White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Bisexual,No,No,0,0,0,1,0,0,Other_sources,6-12_mo,13
72,More,0,1,0,0,0,0,0,0,Ohio,0,0,0,1,0,0,College,Never,Female,Not_Say,0,0,0,1,0,0,0,0,0,USA,Other,Single,Encryption,2,Macintosh,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Dont_trust,1-3_yr,39
26,Dont_Know,1,0,0,0,0,1,0,0,Oregon,0,0,0,1,0,0,Professional,Never,Male,$75-99,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Navigation,1,Macintosh,English,Primarily_work,White,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,1,Dont_trust,4-6_yr,5
22,More,0,1,0,0,0,0,0,0,New_Jersey,0,0,0,1,0,0,Some_College,Never,Male,Under_$10,0,0,0,0,0,0,0,0,1,USA,Other,Single,Censorship,4,,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,6-12_mo,34
40,More,0,1,0,1,0,1,1,1,Michigan,0,0,0,1,0,0,Masters,Never,Male,$50-74,0,0,0,0,0,0,0,1,0,USA,Management,Single,Censorship,1,Macintosh,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Gay_male,Yes,No,0,0,0,0,1,0,Cost_too_high,6-12_mo,34
22,Dont_Know,0,0,0,0,0,1,0,0,Vermont,0,0,0,1,0,0,College,Never,Female,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Dont_Know,1,Win95,English,Primarily_home,White,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,1-3_yr,13
Not_Say,Dont_Know,0,0,1,0,0,0,0,0,Ohio,0,0,0,1,0,0,Some_College,Never,Female,Not_Say,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Navigation,3,,English,Home,White,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,Under_6_mo,34
19,More,1,1,0,0,0,1,1,1,Tennessee,0,0,0,1,0,0,Some_College,Never,Female,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,1,Win95,English,Primarily_work,White,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,No,Heterosexual,Yes,No,0,0,0,1,0,0,Other_sources,1-3_yr,13
26,More,0,0,0,0,1,0,1,0,Pennsylvania,0,0,0,1,0,0,Some_College,Under_25,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Censorship,4,,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Gay_male,Yes,Yes,0,0,0,0,1,0,Already_paying,6-12_mo,11
23,More,0,0,0,0,0,1,0,0,Missouri,0,0,0,1,0,0,College,26-50,Male,$10-19,0,1,0,0,0,0,0,0,0,USA,Education,Single,Navigation,2,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Not_say,Yes,Yes,0,0,0,1,0,0,Already_paying,6-12_mo,13
21,More,1,1,0,1,0,0,0,0,Australia,0,0,0,1,0,0,Special,NA,Female,$75-99,0,0,0,1,0,0,0,0,1,Oceania,Education,Single,Taxes,1,Win95,English,Home,Asian,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,No,Heterosexual,No,No,0,0,1,1,1,0,Other_sources,1-3_yr,13
36,More,0,1,0,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,College,Never,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Single,Censorship,2,,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Yes,Bisexual,Yes,No,0,0,0,0,1,0,Other_sources,6-12_mo,42
25,Dont_Know,0,1,0,0,0,0,0,0,Virginia,0,0,0,1,0,0,Some_College,Never,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Computer,Single,Censorship,1,Win95,English,Work,White,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1,Cost_too_high,6-12_mo,34
19,Less,0,0,1,0,0,0,0,0,New_Mexico,0,0,0,1,0,0,Some_College,51-75,Female,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Other,Taxes,4,NT,English,Primarily_work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,No,Yes,0,0,0,1,0,0,Other_sources,1-3_yr,13
24,Dont_Know,0,0,1,0,0,0,0,0,California,0,0,0,1,0,0,Masters,Never,Male,$10-19,0,0,0,0,0,0,0,0,1,USA,Education,Single,Encryption,4,Win95,English,School,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,1,0,0,Cost_too_high,1-3_yr,12
16,Dont_Know,0,0,0,0,0,0,0,1,New_Jersey,0,0,0,1,0,0,High_School,Under_25,Female,$30-39,1,0,0,0,0,0,0,0,0,USA,Education,Single,Navigation,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not_Applicable,Heterosexual,No,No,0,1,0,0,0,0,Dont_trust,6-12_mo,13
15,Equally,0,1,0,0,0,0,0,0,Minnesota,0,0,0,1,0,0,High_School,NA,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Navigation,1,Win95,English,Primarily_home,White,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Not_Applicable,Heterosexual,No,Yes,0,0,1,0,0,0,Dont_trust,1-3_yr,24
