N1,N2,N3,N4,N5,N6,C1,C2,C3,C4,label
4,3,174,3,2,4069,F,Ship,medium,M,1
4,5,216,3,1,5167,B,Ship,medium,M,1
3,2,178,2,2,4122,C,Ship,medium,F,0
3,1,139,2,47,1241,F,Ship,low,M,1
2,2,242,3,9,4717,C,Flight,high,M,0
3,2,257,3,9,5236,D,Flight,medium,M,0
4,4,268,3,9,4118,F,Ship,low,F,1
3,4,145,2,5,5513,D,Ship,high,F,0
4,4,157,4,6,4175,F,Ship,low,M,0
5,3,254,2,4,5014,C,Ship,low,F,0
5,4,256,5,6,1551,F,Ship,low,M,0
7,5,285,4,6,1591,A,Ship,low,M,1
3,4,266,2,33,3798,A,Ship,high,F,1
3,5,204,4,6,4879,B,Ship,low,M,1
5,2,258,5,3,1824,F,Road,low,M,0
3,2,177,3,10,1641,B,Ship,low,M,1
5,2,266,7,12,2056,F,Road,low,F,1
5,1,160,4,5,5841,B,Ship,medium,M,0
5,2,231,4,41,2992,F,Flight,medium,M,1
6,4,217,4,4,4247,F,Ship,medium,F,1
4,3,205,2,10,4178,F,Flight,medium,M,1
3,1,230,3,6,4392,D,Flight,medium,F,0
4,3,264,5,2,1541,F,Ship,low,F,0
6,2,118,2,40,1014,C,Flight,low,M,1
3,2,204,4,7,4768,C,Ship,medium,M,0
4,2,212,3,5,5413,C,Ship,low,M,0
5,4,182,3,7,5677,C,Ship,medium,F,1
4,5,135,3,1,5013,B,Ship,low,M,0
5,4,192,3,46,3709,F,Ship,medium,M,1
5,5,134,2,53,1088,C,Ship,medium,M,1
3,5,215,3,4,4828,C,Road,low,M,1
4,4,139,3,2,5135,F,Ship,medium,M,0
4,4,248,5,2,1651,B,Flight,medium,M,0
3,3,171,4,8,4502,D,Ship,low,M,0
5,3,178,2,60,1830,F,Flight,medium,F,1
3,1,132,4,58,1067,A,Road,medium,M,1
5,1,248,3,2,4075,F,Ship,low,F,0
5,1,109,2,23,1479,B,Road,high,M,1
4,1,162,3,6,4343,C,Ship,medium,M,1
5,5,230,2,2,2229,F,Ship,low,F,1
4,2,262,2,3,4090,F,Road,medium,M,1
3,2,183,5,2,1158,F,Ship,low,F,1
3,1,254,3,35,2965,B,Ship,medium,F,1
4,5,202,3,8,5416,A,Ship,medium,M,0
4,2,262,6,4,1644,F,Ship,medium,F,1
4,5,237,5,9,1978,B,Ship,low,F,1
5,4,229,6,9,1733,C,Ship,low,F,0
3,5,178,3,39,1498,C,Ship,low,F,1
3,5,265,3,4,4268,F,Ship,medium,M,1
3,4,250,2,1,4922,C,Ship,medium,M,1
4,2,162,6,4,4094,F,Road,low,F,0
2,3,258,2,4,5052,A,Ship,low,M,1
6,3,310,4,2,1189,C,Road,low,F,0
5,4,254,5,10,1350,C,Ship,low,M,0
4,5,214,3,6,5646,A,Ship,high,M,0
4,4,156,3,20,1523,D,Ship,low,M,1
3,5,205,4,2,1648,B,Ship,low,M,0
4,2,156,3,3,5923,A,Ship,low,M,0
4,5,248,5,6,1754,D,Ship,low,F,0
4,4,179,3,48,1943,C,Road,low,M,1
3,1,174,3,7,4318,D,Road,low,M,1
5,1,208,2,9,4887,D,Ship,low,F,0
4,2,249,3,9,5459,A,Ship,low,F,1
3,4,215,3,5,4670,B,Ship,high,F,1
4,5,151,3,31,1365,B,Ship,high,F,1
4,4,163,6,1,4584,C,Ship,medium,M,0
4,2,238,2,9,4937,A,Flight,medium,F,0
4,1,268,3,8,5486,B,Ship,low,M,0
3,2,214,2,7,4938,A,Road,high,F,0
4,3,202,3,7,5678,D,Flight,low,M,1
4,5,171,4,4,4151,A,Ship,medium,F,0
4,4,236,4,65,2280,D,Road,low,M,1
4,1,249,10,7,5580,F,Ship,medium,M,1
3,5,270,6,9,4195,D,Ship,medium,F,0
3,3,232,3,9,5016,F,Ship,low,F,1
5,3,145,2,6,1965,F,Ship,medium,M,1
4,5,264,3,57,3753,D,Ship,medium,M,1
4,4,254,5,9,1654,A,Ship,low,M,1
3,1,239,3,2,4425,C,Flight,low,M,0
4,1,202,2,40,2327,C,Ship,low,M,1
5,3,254,6,7,1064,F,Ship,low,M,0
5,1,236,4,64,3231,A,Ship,high,F,1
3,3,218,3,19,3770,F,Ship,low,M,1
5,4,187,2,10,3549,A,Ship,medium,F,1
6,1,283,5,9,1311,B,Ship,low,F,1
3,1,229,2,12,3111,B,Ship,medium,F,1
2,5,263,3,5,2947,C,Road,low,F,1
6,3,262,5,9,1053,D,Flight,low,M,0
3,3,148,2,42,1950,B,Ship,low,M,1
4,5,202,3,46,3181,F,Ship,medium,F,1
6,2,161,4,10,1683,D,Flight,low,M,0
5,3,148,3,7,4714,C,Ship,low,M,0
3,2,138,2,46,1436,B,Ship,medium,F,1
4,1,233,6,2,5406,B,Ship,medium,F,0
5,3,212,2,7,5219,B,Ship,low,F,0
2,4,187,6,9,4388,F,Ship,medium,F,0
2,2,150,3,6,5854,F,Road,low,F,1
5,5,162,3,41,1462,C,Flight,low,M,1
5,3,101,5,1,4014,C,Ship,medium,F,1
3,2,241,3,22,3030,F,Ship,low,M,1
3,2,146,4,13,1790,D,Ship,low,M,1
4,1,155,4,1,4985,B,Ship,low,F,0
5,1,182,5,6,5398,A,Flight,high,F,0
5,4,142,2,7,5341,F,Flight,high,M,0
3,3,168,4,4,4096,F,Ship,low,F,1
5,3,257,5,10,1812,A,Ship,medium,F,0
3,1,174,3,2,4972,F,Flight,medium,F,0
4,1,238,4,22,3950,C,Ship,low,F,1
3,3,172,3,42,1707,D,Road,medium,F,1
3,2,207,3,1,4369,B,Ship,medium,F,0
4,4,211,4,8,4747,D,Ship,medium,M,1
3,2,237,2,26,3103,A,Road,high,M,1
3,4,175,3,2,5272,F,Road,low,F,0
3,3,268,2,5,5195,C,Ship,high,F,0
5,3,284,5,4,5343,F,Ship,medium,F,1
5,5,198,2,3,5249,F,Ship,high,M,0
5,4,177,2,2,5618,D,Ship,low,M,1
4,1,176,3,36,1891,D,Road,medium,F,1
5,5,269,3,5,5673,A,Ship,low,F,1
4,1,264,3,13,3015,B,Road,low,M,1
5,2,152,3,5,5502,B,Road,high,F,1
3,4,205,8,5,4869,C,Ship,medium,F,1
2,4,152,3,55,1498,C,Ship,low,M,1
4,3,250,2,46,2878,C,Ship,low,F,1
2,3,192,3,4,5524,D,Ship,low,M,0
3,5,260,4,8,4162,C,Ship,medium,F,1
6,4,290,4,3,1710,A,Road,low,M,0
3,1,269,8,4,4290,F,Ship,medium,F,0
3,5,234,2,1,4455,F,Road,medium,F,1
6,4,172,6,10,5554,A,Ship,medium,F,1
4,2,272,3,6,4559,B,Flight,high,F,0
4,4,153,3,3,4422,D,Flight,medium,M,1
4,3,209,5,6,4384,D,Ship,medium,M,0
5,5,150,5,61,1091,B,Ship,medium,F,1
4,4,200,2,5,5783,A,Ship,low,M,0
3,5,241,4,9,5526,F,Ship,low,F,1
3,3,153,3,8,5487,D,Ship,low,M,0
4,4,158,2,15,1030,F,Ship,medium,M,1
5,1,149,2,9,5435,C,Ship,low,M,0
3,4,247,3,8,5792,C,Ship,medium,M,0
3,5,197,3,2,4018,D,Ship,medium,F,1
4,5,193,4,33,2173,B,Ship,low,M,1
6,1,154,5,19,1842,D,Flight,medium,M,1
3,5,251,2,28,3936,B,Road,low,F,1
5,2,203,2,2,4712,C,Ship,medium,F,1
3,4,138,3,54,1648,F,Ship,low,F,1
5,3,218,5,9,4435,F,Ship,low,F,1
5,2,264,6,10,1659,B,Ship,medium,M,1
2,2,203,4,10,5764,B,Ship,medium,M,0
4,2,274,2,11,3013,C,Ship,low,M,1
4,1,145,2,2,5209,F,Road,low,F,0
3,1,207,4,9,4252,F,Ship,low,M,0
4,4,204,4,35,2513,A,Road,medium,F,1
3,5,167,2,5,5042,B,Flight,low,M,1
6,3,285,4,1,1606,F,Ship,medium,F,0
4,2,257,4,58,2269,C,Flight,high,M,1
4,5,220,3,1,4912,A,Ship,medium,F,1
6,4,246,4,3,1852,D,Ship,medium,M,0
4,4,266,3,3,5531,B,Ship,low,M,1
6,2,236,4,61,3140,B,Ship,low,F,1
5,1,282,5,6,5182,F,Flight,low,M,1
3,1,197,5,45,2224,B,Ship,low,M,1
5,3,181,4,32,3893,A,Ship,medium,F,1
6,1,306,4,8,1378,F,Ship,medium,M,0
3,3,192,3,2,3995,C,Ship,medium,F,1
5,4,263,5,8,1548,F,Ship,medium,M,0
4,1,135,3,39,1549,F,Ship,medium,M,1
2,4,271,8,10,4183,D,Ship,medium,F,0
3,3,221,3,5,4568,B,Ship,high,M,1
5,3,143,2,5,5612,A,Flight,medium,M,1
2,5,156,2,2,1750,C,Ship,low,M,1
5,2,154,4,8,4820,F,Ship,low,F,0
3,4,252,2,9,4278,C,Ship,high,M,0
2,5,109,3,12,1715,D,Ship,medium,M,1
4,5,156,3,60,1553,D,Flight,low,F,1
5,4,139,3,6,5721,F,Ship,medium,F,0
5,5,229,6,6,1857,D,Flight,low,F,0
3,3,147,3,4,5805,C,Ship,low,M,0
4,2,214,3,20,2009,D,Flight,medium,F,1
4,5,179,3,4,4487,F,Road,low,F,0
4,2,247,3,8,4977,B,Ship,medium,M,0
5,5,257,5,6,1101,F,Ship,medium,F,0
3,4,231,2,6,4452,C,Road,high,F,0
5,1,287,4,4,1579,C,Flight,low,F,0
4,2,197,3,4,5800,A,Road,low,M,0
7,4,296,4,10,1033,D,Flight,low,F,0
3,1,264,4,33,3561,D,Flight,low,M,1
5,4,237,6,2,4541,B,Ship,medium,M,0
5,1,277,4,2,5496,F,Ship,low,M,0
5,5,207,4,1,5035,F,Ship,low,F,0
3,4,183,2,52,2078,F,Ship,medium,F,1
5,4,257,5,1,1778,B,Flight,low,F,1
3,4,145,8,15,1429,F,Ship,low,F,1
3,2,185,2,49,3864,A,Road,high,F,1
3,1,200,2,27,2551,D,Ship,medium,M,1
3,5,190,3,9,4468,B,Ship,low,M,0
3,3,265,3,8,5070,B,Ship,medium,F,0
3,5,257,3,52,2170,D,Ship,low,F,1
5,1,241,3,8,5306,D,Ship,high,M,1
3,5,191,3,17,2235,F,Road,high,F,1
6,3,256,5,1,1980,C,Ship,low,F,0
3,3,250,3,33,3463,A,Ship,low,F,1
4,1,199,2,46,3371,A,Ship,low,F,1
4,2,174,2,8,4295,C,Ship,low,F,0
6,1,117,7,4,4211,A,Ship,medium,F,0
6,3,226,3,4,4604,D,Flight,high,F,1
4,1,144,4,63,1881,F,Ship,low,F,1
6,2,256,5,2,1449,B,Ship,medium,F,1
3,4,145,3,44,1218,F,Ship,medium,M,1
3,3,281,2,55,3047,B,Ship,medium,M,1
3,2,239,3,10,4486,F,Ship,low,F,0
3,5,242,5,61,3688,F,Ship,medium,F,1
6,3,245,4,10,1798,A,Ship,low,M,0
3,1,162,4,4,5683,C,Road,medium,F,0
2,2,137,3,20,1823,D,Ship,low,F,1
3,5,174,3,7,5672,B,Ship,low,M,1
4,5,102,5,3,5767,A,Ship,low,F,0
3,4,184,3,10,4776,D,Ship,low,M,0
5,3,163,6,6,4349,B,Ship,low,M,0
5,1,169,4,4,4541,D,Ship,medium,M,0
3,4,195,2,10,4031,F,Ship,medium,F,0
4,3,271,2,9,4967,B,Ship,medium,M,1
4,4,151,2,3,4105,B,Ship,low,M,1
4,4,135,2,4,4684,F,Ship,low,M,0
4,4,173,3,10,4616,F,Road,low,M,0
3,4,248,4,8,4540,C,Road,medium,M,0
5,5,167,3,9,4319,C,Ship,medium,M,1
3,5,272,2,6,4652,D,Ship,medium,M,0
6,5,295,4,5,1963,B,Ship,medium,M,1
5,2,168,2,20,1539,F,Road,medium,M,1
4,4,273,2,1,5759,D,Ship,low,M,1
6,4,256,4,2,5021,D,Ship,high,M,0
5,1,247,10,57,2377,A,Road,medium,F,1
3,1,223,3,31,3942,C,Ship,medium,F,1
3,4,259,2,3,4154,B,Ship,medium,F,1
4,1,177,4,13,1569,D,Ship,low,F,1
4,1,260,2,2,2980,D,Ship,low,M,1
3,1,273,6,1,1293,A,Ship,low,M,0
7,5,301,4,7,1727,A,Ship,low,F,0
6,1,104,4,23,1442,C,Ship,medium,F,1
3,1,229,3,2,3963,B,Road,medium,M,1
4,3,252,2,6,5266,F,Ship,low,M,1
5,2,191,3,52,2028,A,Ship,high,F,1
5,2,248,5,4,1284,F,Ship,low,M,1
4,4,272,3,9,5458,F,Ship,low,M,0
6,3,306,4,5,1261,F,Ship,high,F,1
5,5,260,5,6,1860,D,Ship,low,F,0
2,4,159,2,17,1686,F,Ship,low,F,1
3,3,180,3,56,1684,C,Flight,high,F,1
4,5,163,2,10,5529,D,Ship,medium,F,1
3,5,148,3,4,5919,C,Road,low,M,0
4,1,271,4,9,5853,F,Ship,low,M,1
3,1,196,3,64,2911,F,Ship,low,F,1
4,2,273,2,31,2229,C,Ship,low,F,1
4,4,163,3,3,4185,A,Ship,low,M,1
5,2,233,3,10,4233,A,Flight,medium,F,1
6,4,218,6,1,4625,F,Ship,medium,M,1
6,1,152,2,3,1340,F,Ship,low,F,0
3,5,190,10,26,3244,D,Ship,medium,M,1
2,4,226,3,9,4098,F,Ship,low,M,1
2,2,190,8,33,3448,A,Ship,medium,M,1
3,1,269,3,47,3033,C,Ship,low,M,1
6,1,267,4,9,1146,F,Ship,low,M,1
5,2,224,2,8,4047,F,Ship,medium,M,1
4,4,149,3,34,1977,F,Flight,low,M,1
5,2,111,4,7,4424,F,Ship,medium,F,0
6,5,244,4,4,1648,B,Flight,medium,F,1
4,1,168,2,1,5698,C,Ship,medium,F,1
6,5,267,4,3,1550,A,Flight,low,M,0
5,3,161,5,48,1883,F,Ship,high,M,1
4,4,191,6,60,3425,B,Ship,low,F,1
3,5,286,6,3,4424,F,Ship,medium,M,0
2,5,127,3,3,5964,B,Road,medium,F,0
4,3,263,3,4,4150,B,Ship,low,M,1
3,3,233,3,5,4976,D,Ship,low,F,1
4,2,181,3,4,5078,B,Flight,low,M,0
4,5,268,3,64,2386,B,Ship,low,F,1
6,2,169,2,9,5580,B,Flight,medium,M,0
3,3,224,4,10,4147,A,Ship,medium,M,0
6,5,308,4,8,1164,C,Ship,low,M,1
4,1,180,3,27,1551,C,Ship,medium,M,1
4,5,269,4,60,3456,D,Ship,medium,M,1
3,1,186,3,4,5515,A,Ship,medium,F,1
5,1,263,6,3,1665,B,Ship,low,F,1
4,3,163,4,5,5593,D,Ship,medium,M,0
4,1,264,3,39,3719,D,Ship,low,F,1
4,1,245,3,5,4523,D,Ship,low,F,0
3,2,169,2,30,1698,F,Ship,high,M,1
3,3,251,2,3,5168,A,Ship,low,M,0
4,1,232,3,55,2686,F,Road,medium,M,1
6,5,287,5,2,5611,A,Ship,low,M,1
4,3,207,5,6,4145,D,Ship,high,F,0
4,3,159,5,4,4666,C,Ship,low,M,1
7,2,283,5,10,1722,D,Ship,low,F,1
3,5,156,2,43,1301,F,Ship,low,F,1
3,2,151,2,26,1793,F,Road,low,M,1
4,1,263,5,3,1777,C,Ship,low,M,0
3,2,215,2,7,5988,C,Road,medium,M,1
5,5,222,6,3,1861,C,Ship,low,F,0
3,2,134,3,6,4778,F,Ship,low,M,1
5,3,246,5,4,1257,F,Ship,medium,M,1
3,4,175,3,10,4771,F,Ship,medium,M,1
5,3,243,6,10,1729,D,Ship,medium,M,1
5,5,189,3,10,5554,A,Ship,low,F,1
5,5,263,4,9,1551,B,Ship,low,F,0
6,4,286,4,9,1096,B,Ship,medium,M,1
5,3,197,4,2,2222,A,Ship,low,F,1
3,3,189,4,51,2208,C,Flight,medium,F,1
5,5,145,3,37,1993,F,Ship,medium,F,1
3,1,237,3,4,5860,F,Ship,medium,F,0
5,4,133,3,9,1051,F,Ship,low,M,1
7,3,308,4,6,1113,C,Ship,medium,M,0
4,5,270,4,65,1818,D,Ship,low,M,1
3,1,177,3,9,4890,B,Flight,low,F,1
3,2,116,2,22,1430,B,Ship,low,F,1
5,4,151,2,10,5643,F,Ship,low,F,1
4,2,190,2,6,3595,F,Ship,medium,F,1
5,3,267,3,9,5258,F,Ship,low,M,1
7,4,264,4,6,1265,F,Flight,medium,M,0
3,3,154,2,1,5884,C,Flight,low,M,1
3,2,224,3,40,2180,F,Flight,low,M,1
5,1,143,3,3,4907,D,Ship,medium,F,1
6,4,260,4,10,1927,F,Ship,medium,F,0
2,4,194,6,39,3770,C,Ship,medium,F,1
5,1,258,5,4,1032,F,Ship,low,F,0
4,1,145,3,8,4915,C,Ship,medium,M,0
6,3,218,3,6,4594,B,Flight,low,M,0
3,2,177,3,8,5006,A,Ship,medium,M,1
3,4,228,3,8,5419,F,Ship,medium,F,0
4,2,142,3,6,4918,C,Flight,medium,F,0
3,1,204,10,5,5375,F,Ship,medium,M,0
5,1,105,5,1,1101,C,Road,low,M,1
5,2,243,2,4,3681,F,Ship,medium,F,1
3,2,143,6,63,1953,A,Ship,medium,M,1
6,3,245,4,2,1158,A,Flight,low,M,1
4,5,191,2,10,5068,F,Road,low,M,1
5,5,142,4,5,5749,D,Flight,low,M,0
6,4,250,4,2,1969,A,Ship,low,M,1
6,5,301,5,3,1628,A,Road,medium,M,0
4,2,203,4,9,4217,A,Flight,medium,F,0
3,5,109,5,27,1581,C,Road,low,M,1
3,4,124,4,10,5011,F,Ship,medium,F,0
4,4,260,2,6,4474,D,Ship,medium,M,0
4,2,200,3,45,2486,B,Ship,medium,M,1
6,3,98,3,8,4651,D,Ship,low,F,1
3,2,267,5,48,2622,D,Road,low,F,1
2,4,274,10,3,4167,F,Flight,high,M,1
3,4,246,3,1,4273,D,Ship,high,F,1
5,1,180,3,2,5013,D,Road,low,F,1
6,5,176,4,31,1262,D,Ship,medium,M,1
4,4,187,3,6,4567,D,Ship,high,M,0
3,5,184,2,3,4883,D,Ship,high,M,0
6,4,201,2,4,5916,A,Road,low,M,1
4,1,188,2,10,5085,A,Ship,low,M,1
6,1,268,4,1,1654,D,Ship,low,F,1
5,5,262,6,5,1418,F,Ship,low,F,1
3,1,220,4,7,5894,C,Ship,medium,M,1
4,3,190,4,12,3115,D,Ship,medium,M,1
5,2,239,2,59,2897,F,Ship,medium,F,1
5,4,217,2,2,5469,C,Flight,low,M,1
3,4,218,2,2,5973,F,Flight,medium,M,0
5,4,245,5,4,1771,C,Flight,medium,F,1
4,3,183,3,6,5712,F,Flight,low,F,1
5,5,239,6,9,1417,F,Ship,low,M,1
4,5,268,2,2,4721,F,Ship,low,M,1
4,4,207,2,35,2596,F,Ship,medium,M,1
3,4,267,3,3,4566,B,Ship,low,F,0
4,3,253,5,6,1366,F,Ship,low,M,1
3,1,236,4,10,1551,B,Road,medium,F,0
4,4,218,6,8,5101,F,Road,medium,M,1
5,3,230,4,4,5278,C,Ship,medium,M,1
4,1,167,3,10,1616,F,Road,low,F,1
3,1,175,3,9,5797,B,Ship,medium,F,0
5,5,234,2,43,3822,F,Ship,medium,F,1
4,5,177,2,47,1536,B,Ship,low,M,1
3,4,241,2,57,3671,A,Ship,low,M,1
4,5,134,4,36,1191,A,Ship,low,M,1
3,1,181,3,22,3266,F,Ship,medium,M,1
3,1,206,3,8,4763,A,Ship,high,F,1
3,4,213,3,5,4535,B,Road,low,F,1
4,3,151,3,8,4025,B,Ship,medium,F,1
6,1,201,4,5,4592,F,Flight,low,F,1
5,2,208,8,5,4751,D,Ship,medium,M,0
3,1,193,3,3,5154,C,Ship,medium,M,0
4,5,253,2,43,2589,C,Road,medium,F,1
4,4,160,4,1,5520,F,Flight,low,M,1
7,5,268,4,9,1754,A,Ship,medium,F,1
3,2,204,2,8,4562,F,Flight,high,M,1
4,1,186,2,4,4686,C,Ship,low,M,1
3,3,250,2,8,5067,D,Ship,medium,F,0
5,5,171,3,14,1554,F,Ship,high,M,1
5,4,229,3,29,2505,F,Flight,medium,M,1
3,3,178,2,4,1778,F,Ship,medium,M,1
4,5,134,3,4,5423,A,Road,medium,F,0
4,5,198,3,2,4272,A,Road,low,M,0
5,2,263,5,10,1059,B,Ship,medium,F,0
4,1,178,3,19,1906,B,Ship,low,M,1
5,3,226,2,6,5033,F,Ship,high,F,0
6,2,293,4,7,1477,A,Flight,low,F,0
5,5,157,4,60,1407,F,Ship,medium,M,1
5,1,144,4,37,1658,F,Ship,low,M,1
4,1,198,3,1,4090,C,Ship,medium,F,0
4,4,261,2,9,5306,F,Ship,medium,F,1
5,5,166,2,2,4562,B,Ship,high,F,1
3,3,238,2,4,4206,B,Ship,medium,F,0
4,5,201,3,41,3563,D,Road,medium,M,1
4,1,249,6,2,5720,F,Ship,medium,M,1
4,1,154,2,1,5578,F,Ship,low,M,0
6,5,261,5,1,5442,F,Ship,low,M,0
2,4,120,2,13,1240,C,Ship,medium,M,1
5,3,206,2,59,3278,F,Ship,medium,F,1
7,2,281,4,2,1291,F,Road,medium,F,0
4,4,146,3,6,4672,F,Flight,medium,F,1
4,3,246,2,6,4908,A,Ship,low,M,0
5,1,227,5,7,1620,C,Road,low,M,1
3,4,191,3,6,4586,F,Road,medium,M,1
4,2,253,5,3,1092,F,Ship,medium,F,0
6,1,308,4,1,1216,F,Ship,medium,M,1
6,4,293,4,8,1145,D,Ship,low,F,1
4,3,148,2,29,1809,D,Ship,low,M,1
6,1,206,6,8,4243,C,Ship,medium,F,1
3,5,145,2,2,4232,D,Ship,low,F,1
4,5,213,3,42,3121,C,Ship,medium,F,1
3,1,149,3,9,5952,A,Road,medium,F,1
4,5,234,3,4,5100,B,Ship,low,F,1
7,5,288,4,1,1269,D,Ship,low,F,1
5,4,217,5,3,1007,B,Ship,high,F,1
3,1,150,3,43,1831,A,Ship,low,F,1
3,3,213,6,17,2424,A,Flight,low,F,1
6,3,251,5,8,4877,F,Ship,medium,M,0
4,1,273,3,5,5323,B,Ship,low,F,0
3,2,221,2,10,4312,C,Road,low,F,0
3,3,232,4,4,4662,A,Ship,low,F,1
5,5,156,4,5,5987,A,Ship,low,F,1
2,1,285,3,7,4999,C,Ship,high,F,0
5,3,202,3,41,3536,F,Flight,high,M,1
6,3,294,4,52,1667,C,Ship,low,M,1
4,3,286,5,37,2938,F,Ship,low,M,1
5,4,208,4,8,4116,B,Ship,medium,F,0
3,2,189,3,1,4997,F,Ship,high,M,1
4,5,219,3,27,3684,F,Ship,medium,M,1
4,4,172,3,1,4201,C,Ship,medium,F,0
4,5,152,3,5,5191,B,Ship,medium,M,0
6,5,257,4,1,1957,F,Ship,medium,F,1
2,1,238,4,4,4780,B,Flight,medium,F,0
4,1,272,2,1,5666,C,Ship,low,M,0
4,4,172,2,3,5538,B,Ship,medium,F,1
3,1,104,4,9,5211,A,Flight,low,F,1
4,5,160,6,4,4684,C,Ship,low,F,1
3,5,150,3,6,4565,C,Ship,high,M,0
3,3,216,8,4,5329,C,Ship,medium,M,1
3,1,206,3,28,2892,F,Ship,medium,M,1
5,4,260,5,2,1178,A,Ship,low,F,1
2,3,142,3,46,1694,A,Road,low,F,1
5,3,237,3,7,4208,D,Ship,high,M,1
5,3,275,5,7,1349,F,Ship,low,M,0
4,5,268,3,9,5521,B,Road,medium,M,1
3,1,216,4,4,4416,A,Road,medium,F,0
7,3,308,5,10,1152,F,Ship,medium,M,1
4,5,168,3,4,1363,A,Ship,low,F,1
3,2,189,3,2,4718,D,Ship,medium,M,0
3,5,246,3,2,5653,D,Ship,medium,F,1
5,1,156,2,10,5086,C,Ship,low,M,0
6,4,297,4,9,1249,F,Ship,low,F,1
2,4,134,3,42,1415,B,Ship,low,F,1
3,1,232,3,9,2958,D,Ship,low,M,1
4,2,194,3,3,5174,D,Flight,low,F,0
4,1,273,6,1,1826,F,Ship,medium,M,0
4,4,200,4,3,5583,F,Ship,low,F,1
3,4,159,3,4,4756,F,Road,high,M,1
4,1,261,2,9,4158,D,Road,medium,F,0
4,4,213,3,1,4266,D,Ship,low,F,0
3,5,242,2,1,5803,F,Flight,low,M,1
5,1,237,5,2,1429,A,Ship,medium,F,1
3,2,244,3,10,4636,A,Road,medium,M,1
4,2,174,3,3,5920,F,Road,low,F,0
3,3,260,2,7,5738,C,Ship,low,M,0
3,5,172,10,1,4929,A,Ship,high,F,1
2,4,258,3,7,5736,F,Flight,medium,M,0
4,4,226,5,12,2708,B,Ship,medium,F,1
5,2,251,2,2,4245,F,Flight,low,M,1
4,5,192,3,20,3872,A,Ship,high,M,1
2,1,181,5,3,1038,A,Ship,medium,M,0
3,1,133,3,6,5464,A,Road,medium,M,1
4,5,250,3,2,5206,C,Ship,low,F,0
4,4,161,2,8,4348,D,Ship,medium,F,1
5,3,171,3,7,4946,F,Ship,low,F,0
5,5,210,3,8,5906,F,Road,medium,M,1
4,1,172,2,48,1993,B,Ship,low,M,1
6,2,290,4,9,1339,A,Flight,medium,F,0
4,5,253,3,1,5402,C,Ship,low,F,0
3,3,207,3,1,5632,C,Flight,high,M,1
3,4,195,10,5,5950,A,Ship,low,M,1
3,5,194,3,3,4435,D,Road,medium,F,1
3,3,158,2,4,5960,D,Ship,low,F,0
5,5,132,3,5,4195,F,Road,low,M,1
3,3,150,4,8,4357,F,Ship,medium,F,1
3,2,189,6,7,4329,C,Ship,low,M,0
4,1,155,3,9,4443,C,Ship,medium,M,0
7,1,244,4,8,1817,F,Ship,low,M,1
7,5,255,4,9,1367,D,Ship,low,F,0
3,1,167,3,4,5943,D,Ship,low,F,1
4,4,175,5,10,4498,F,Ship,low,M,1
4,4,163,3,8,4921,A,Ship,low,M,1
4,5,192,4,10,4691,B,Flight,low,F,0
3,5,159,2,6,5804,A,Ship,medium,M,0
5,3,232,5,2,1057,A,Ship,medium,F,1
6,4,290,4,10,1366,A,Ship,medium,M,0
6,4,272,2,7,4145,F,Road,low,M,0
4,4,145,3,43,1651,A,Road,low,F,1
4,2,209,4,10,3370,A,Ship,low,F,1
6,1,250,4,5,1747,F,Ship,medium,M,0
4,1,246,6,6,1335,C,Ship,low,F,1
3,2,133,3,1,5026,A,Ship,medium,M,1
3,5,224,2,10,4380,D,Ship,low,F,1
5,5,257,3,9,5972,A,Ship,medium,F,0
3,2,184,5,26,3336,F,Ship,high,F,1
4,2,189,3,6,3671,F,Ship,medium,M,1
5,4,273,6,7,4058,D,Ship,medium,F,1
6,1,255,4,5,1253,C,Road,low,M,1
3,4,239,2,10,5674,F,Ship,low,F,1
4,3,161,3,7,4245,F,Road,high,M,0
4,2,224,3,1,5821,B,Ship,low,M,0
3,5,225,2,56,2596,D,Ship,low,F,1
5,2,173,4,21,1674,B,Ship,low,M,1
5,3,255,6,1,5874,F,Ship,medium,F,0
3,3,183,3,6,3364,C,Flight,high,F,1
4,1,193,4,4,4796,D,Ship,low,F,0
3,4,257,4,10,4415,F,Ship,low,M,0
3,2,212,2,65,3776,F,Ship,medium,F,1
7,5,192,3,46,1550,A,Ship,low,M,1
4,5,296,2,1,1678,F,Ship,medium,M,0
4,4,200,3,19,2976,D,Flight,low,M,1
3,3,261,3,4,5482,A,Ship,medium,M,1
6,4,299,4,9,1036,C,Flight,medium,M,1
3,2,223,4,20,3955,F,Ship,low,F,1
4,5,174,3,8,5576,F,Road,medium,F,0
4,3,246,2,60,2086,F,Flight,low,M,1
4,1,144,2,35,1072,B,Ship,high,M,1
3,2,262,2,7,5141,D,Ship,low,M,1
3,1,263,3,4,4208,C,Ship,medium,F,0
3,4,160,3,10,4602,C,Road,low,M,0
4,3,190,10,34,3935,B,Road,low,M,1
4,3,261,10,6,4347,F,Flight,low,F,1
5,2,226,6,5,1981,D,Ship,low,F,1
2,5,170,5,10,5621,D,Road,low,F,1
5,2,226,3,6,4700,F,Ship,medium,M,1
4,3,238,6,2,1898,C,Ship,low,M,0
7,2,288,4,4,1321,F,Flight,high,M,0
4,1,165,3,51,1293,F,Ship,medium,M,1
6,4,279,4,9,1128,F,Ship,low,M,0
5,1,265,4,2,5416,F,Road,low,F,1
